"num.trees","mtry","sample.fraction","min.node.size","replace","MSE","runtime_training","runtime_prediction"
2,2,0.1,1,TRUE,1781989078.59779,0.0199999999999818,0.0299999999997453
4,2,0.1,1,TRUE,1334763334.5185,0.0599999999999454,0.0299999999997453
8,2,0.1,1,TRUE,1026577624.59373,0.0399999999999636,0.0300000000002001
16,2,0.1,1,TRUE,1005190930.20066,0.0300000000002001,0.0100000000002183
32,2,0.1,1,TRUE,1056603748.02708,0.0299999999997453,0.00999999999976353
64,2,0.1,1,TRUE,1048630120.7552,0.0300000000002001,0.0100000000002183
128,2,0.1,1,TRUE,1010825784.91388,0.0499999999997272,0.0199999999999818
256,2,0.1,1,TRUE,996193991.577429,0.0799999999999272,0.0299999999997453
512,2,0.1,1,TRUE,1014157240.08796,0.0999999999999091,0.0299999999997453
1024,2,0.1,1,TRUE,1009458911.08309,0.170000000000073,0.0599999999999454
2048,2,0.1,1,TRUE,1009052494.61134,0.369999999999891,0.109999999999673
2,5,0.1,1,TRUE,1798023970.22464,0.0100000000002183,0.0100000000002183
4,5,0.1,1,TRUE,1334488921.40938,0.0299999999997453,0.0300000000002001
8,5,0.1,1,TRUE,1002446853.88641,0.0299999999997453,0.0399999999999636
16,5,0.1,1,TRUE,908226687.050404,0.0300000000002001,0.00999999999976353
32,5,0.1,1,TRUE,865884151.135054,0.0299999999997453,0.0299999999997453
64,5,0.1,1,TRUE,791636852.385391,0.0500000000001819,0.0199999999999818
128,5,0.1,1,TRUE,785403676.851101,0.0599999999999454,0.0399999999999636
256,5,0.1,1,TRUE,770345943.086196,0.0900000000001455,0.0299999999997453
512,5,0.1,1,TRUE,767268017.409305,0.119999999999891,0.0399999999999636
1024,5,0.1,1,TRUE,780806153.489219,0.240000000000236,0.0500000000001819
2048,5,0.1,1,TRUE,778782480.435035,0.490000000000236,0.0900000000001455
2,10,0.1,1,TRUE,1815775522.23585,0.0299999999997453,0.0199999999999818
