"","num_trees","sample_fraction","mtry","replace","min_node_size","mse","runtime_training","runtime_prediction"
"elapsed",1934,0.54485274492763,40,FALSE,7,702305099.338964,2.22,0.0859999999999996
"elapsed1",750,0.169815706484951,55,TRUE,14,840165063.64299,0.278,0.0299999999999997
"elapsed2",317,0.950756193976849,41,TRUE,23,683073199.078998,0.408,0.0240000000000009
"elapsed3",1443,0.894091490306892,50,FALSE,14,733789696.467374,2.534,0.0660000000000004
"elapsed4",688,0.475389086338691,56,FALSE,5,680834523.158052,1.048,0.038000000000001
"elapsed5",1240,0.595521533372812,12,FALSE,26,752626602.488708,0.367999999999999,0.0439999999999998
"elapsed6",1636,0.111346458899789,39,TRUE,42,1448579119.5459,0.2,0.0299999999999997
"elapsed7",759,0.987001079902984,19,TRUE,2,645297892.863352,1.178,0.0719999999999999
"elapsed8",1526,0.645957358763553,26,TRUE,45,792037628.087846,0.748,0.0540000000000006
"elapsed9",438,0.205485822469927,45,TRUE,42,1038306310.30837,0.139999999999999,0.0280000000000001
"elapsed10",295,0.715483996667899,48,TRUE,28,731164009.750344,0.309999999999999,0.0220000000000027
"elapsed11",1059,0.460485989367589,42,FALSE,48,911595797.131914,0.470000000000002,0.0319999999999993
"elapsed12",1022,0.832240794389509,55,TRUE,44,770525976.136084,1.088,0.0400000000000034
"elapsed13",589,0.875023882463574,20,FALSE,35,720859037.350867,0.318000000000001,0.0260000000000019
"elapsed14",499,0.995169181469828,12,TRUE,37,730192182.226769,0.216000000000002,0.0319999999999993
"elapsed15",70,0.721387915266678,27,FALSE,16,732541818.246398,0.0719999999999999,0.0219999999999942
"elapsed16",1738,0.216659885528497,23,FALSE,7,731002447.654311,0.559999999999999,0.0579999999999927
"elapsed17",1250,0.545164964534342,7,TRUE,40,918448321.164486,0.223999999999998,0.0359999999999985
"elapsed18",837,0.32142975453753,45,TRUE,19,765620292.87021,0.422000000000003,0.0259999999999991
"elapsed19",1629,0.877389997965656,21,FALSE,8,661087433.388951,1.632,0.0639999999999986
"elapsed20",420,0.149458249681629,20,TRUE,29,1072693934.98821,0.0759999999999991,0.0160000000000025
"elapsed21",754,0.569438487151638,34,FALSE,22,709028092.641695,0.506000000000003,0.0340000000000032
"elapsed22",873,0.78864522727672,11,FALSE,29,736136884.929796,0.295999999999998,0.0380000000000024
"elapsed23",359,0.429488386050798,20,TRUE,35,831949870.800014,0.118000000000004,0.0280000000000001
"elapsed24",232,0.871225222805515,11,TRUE,18,713411238.698732,0.119999999999999,0.0259999999999991
"elapsed25",230,0.300465250341222,32,TRUE,29,860174245.40314,0.0860000000000014,0.0199999999999989
"elapsed26",663,0.544151284615509,32,FALSE,47,856575542.760658,0.290000000000001,0.0259999999999991
"elapsed27",1463,0.221696793474257,45,TRUE,20,844202667.262232,0.492000000000002,0.0380000000000052
"elapsed28",1109,0.651655958243646,7,TRUE,26,815966272.762902,0.272,0.0359999999999985
"elapsed29",1656,0.688151313876733,42,TRUE,28,738963550.977098,1.446,0.0480000000000018
"elapsed30",1290,0.306037256261334,41,TRUE,32,878200962.036956,0.468000000000001,0.039999999999992
"elapsed31",186,0.362643326423131,8,TRUE,36,973199146.009139,0.0460000000000036,0.0259999999999991
"elapsed32",1481,0.474443389731459,35,FALSE,36,824499779.90764,0.662,0.0339999999999975
"elapsed33",774,0.452020336105488,1,TRUE,43,2093552474.43113,0.0779999999999973,0.0299999999999955
"elapsed34",791,0.534812093502842,50,TRUE,19,712642320.988589,0.738,0.0360000000000014
"elapsed35",1201,0.130792135419324,58,FALSE,9,826558468.929026,0.457999999999998,0.0379999999999995
"elapsed36",1126,0.35784812301863,46,FALSE,6,718841354.589782,0.997999999999996,0.0459999999999923
"elapsed37",863,0.398152449098416,45,FALSE,44,944843515.61097,0.365999999999997,0.0299999999999955
"elapsed38",1614,0.163390618539415,38,FALSE,49,1298265751.70385,0.251999999999998,0.0399999999999977
"elapsed39",308,0.950921129924245,2,TRUE,14,992409142.698902,0.0800000000000011,0.0259999999999934
"elapsed40",1653,0.391246217279695,12,TRUE,3,691551643.871676,0.844,0.0759999999999991
"elapsed41",1766,0.545894101262093,31,FALSE,37,787887989.449634,0.824000000000001,0.0559999999999945
"elapsed42",1339,0.31747864105273,42,TRUE,44,936378312.19711,0.424000000000001,0.0419999999999959
"elapsed43",1985,0.557644513621926,5,FALSE,39,956650261.856109,0.307999999999993,0.0620000000000005
"elapsed44",55,0.547298945742659,31,TRUE,26,774296130.291402,0.045999999999998,0.0199999999999932
"elapsed45",157,0.785490181692876,20,TRUE,7,696372663.496224,0.158000000000004,0.0199999999999989
"elapsed46",311,0.951815142249689,39,FALSE,47,791549397.044645,0.296000000000009,0.0260000000000048
"elapsed47",1501,0.887809859053232,33,FALSE,36,748672778.737383,1.264,0.045999999999998
"elapsed48",1324,0.137329025799409,4,FALSE,20,1281600728.03719,0.124000000000001,0.0339999999999975
"elapsed49",691,0.395839680638164,12,FALSE,3,696699135.293527,0.344,0.0339999999999975
"elapsed50",451,0.675384498946369,29,FALSE,37,779637917.171763,0.247999999999996,0.0220000000000084
"elapsed51",82,0.182285626023076,54,TRUE,38,1045997388.69089,0.0439999999999941,0.0120000000000005
"elapsed52",1379,0.856773334578611,40,TRUE,24,680497163.678016,1.656,0.06400000000001
"elapsed53",137,0.579524779506028,35,TRUE,13,703235009.257883,0.163999999999999,0.0259999999999991
"elapsed54",1902,0.100535040767863,22,TRUE,11,935579602.709711,0.325999999999999,0.0520000000000039
"elapsed55",931,0.750928797875531,37,TRUE,49,790676410.974456,0.765999999999997,0.0379999999999939
"elapsed56",524,0.536636471515521,1,FALSE,26,1882375966.28362,0.0800000000000068,0.028000000000003
"elapsed57",57,0.104643997852691,7,FALSE,19,1286773281.73415,0.0319999999999993,0.0159999999999968
"elapsed58",573,0.620552210067399,50,TRUE,26,709428498.955669,0.651999999999998,0.0339999999999975
"elapsed59",392,0.696453355951235,38,TRUE,38,773513979.557117,0.314000000000004,0.0279999999999973
"elapsed60",401,0.382337068300694,43,TRUE,36,857085778.329974,0.180000000000001,0.0240000000000009
"elapsed61",1366,0.452762658614665,12,TRUE,4,697626136.179991,0.613999999999999,0.0600000000000023
"elapsed62",573,0.348927461495623,44,FALSE,47,959251209.72293,0.216000000000002,0.0240000000000009
"elapsed63",1711,0.414978765370324,3,TRUE,22,1042297999.54464,0.214000000000004,0.0500000000000057
"elapsed64",746,0.187480321829207,26,FALSE,13,818441889.988879,0.225999999999999,0.0300000000000125
"elapsed65",731,0.621851122379303,24,FALSE,15,695327931.877808,0.495999999999987,0.03599999999999
"elapsed66",666,0.683221464627422,2,TRUE,13,1049878657.63718,0.131999999999994,0.0360000000000014
"elapsed67",1566,0.885845029889606,29,FALSE,15,664088113.125768,2.11800000000002,0.0699999999999932
"elapsed68",1879,0.204485741769895,34,TRUE,19,845156652.716439,0.569999999999982,0.0580000000000041
"elapsed69",82,0.15413699366618,30,TRUE,29,1070815442.47353,0.0519999999999982,0.0219999999999914
"elapsed70",335,0.151415594643913,46,FALSE,29,1037120280.447,0.13599999999999,0.0259999999999991
"elapsed71",934,0.226349873957224,24,FALSE,40,1026146204.30992,0.210000000000014,0.0379999999999995
"elapsed72",146,0.169313445035368,55,FALSE,45,1192734454.44598,0.0639999999999986,0.0259999999999877
"elapsed73",484,0.235471152979881,2,FALSE,29,1465182527.49104,0.067999999999995,0.0279999999999859
"elapsed74",1172,0.597669950104319,29,FALSE,7,679443570.717579,1.17600000000001,0.05
"elapsed75",1337,0.537666211999022,13,TRUE,37,833576134.300106,0.381999999999994,0.03599999999999
"elapsed76",1082,0.840412130532786,19,TRUE,49,771161455.914258,0.503999999999985,0.0320000000000164
"elapsed77",1398,0.602187051600777,54,TRUE,44,836747051.518118,1.05,0.0439999999999827
"elapsed78",2013,0.495343943778425,42,FALSE,25,744150362.451036,1.29800000000001,0.0580000000000041
"elapsed79",1600,0.81931165845599,12,FALSE,38,768798930.359659,0.515999999999985,0.0439999999999941
"elapsed80",1397,0.426022340846248,53,TRUE,37,832655783.594808,0.755999999999995,0.0399999999999977
"elapsed81",1702,0.505142892757431,41,TRUE,48,867791636.466526,0.800000000000011,0.0480000000000018
"elapsed82",729,0.425799200753681,27,TRUE,39,845773569.453263,0.231999999999994,0.0339999999999918
"elapsed83",880,0.110331243206747,47,FALSE,15,928783505.392803,0.194000000000005,0.0319999999999936
"elapsed84",1914,0.635406205221079,25,FALSE,35,796643016.147272,0.905999999999983,0.0480000000000132
"elapsed85",643,0.451457798713818,54,TRUE,40,873774309.769791,0.389999999999975,0.0220000000000027
"elapsed86",1771,0.978883194737136,28,FALSE,24,674788096.602517,1.726,0.0659999999999968
"elapsed87",984,0.17927062024828,13,TRUE,21,955136767.821193,0.15,0.0360000000000014
"elapsed88",572,0.596292205154896,22,FALSE,14,712738460.789409,0.358000000000004,0.0360000000000014
"elapsed89",1076,0.242613398027606,3,FALSE,42,1453361780.09367,0.110000000000014,0.0360000000000014
"elapsed90",528,0.48702991285827,19,TRUE,5,694337535.166818,0.351999999999998,0.0299999999999841
"elapsed91",793,0.520001230365597,17,FALSE,16,692148825.652383,0.353999999999996,0.0339999999999918
"elapsed92",1168,0.272206558147445,21,FALSE,1,696206682.496433,0.854000000000019,0.0620000000000005
"elapsed93",1656,0.441751139517874,29,TRUE,11,714735261.255359,0.948000000000013,0.0559999999999945
"elapsed94",1780,0.383610907825641,22,FALSE,34,854468186.165136,0.504000000000008,0.0520000000000096
"elapsed95",1066,0.637883372977376,29,FALSE,47,839320904.562119,0.547999999999968,0.0380000000000223
"elapsed96",1896,0.801246337010525,26,FALSE,17,693641093.633834,1.62,0.067999999999995
"elapsed97",288,0.306437651393935,53,TRUE,14,745391790.243823,0.193999999999994,0.0220000000000027
