mtry,replace,MSE,runtime_training,runtime_prediction
1.0,1.0,1228780723.14325,0.0999999999985448,0.0400000000008731
1.0,0.0,1238565534.92322,0.110000000000582,0.0499999999992724
2.0,1.0,709539229.276321,0.190000000002328,0.0499999999992724
2.0,0.0,709407856.938368,0.150000000001455,0.0299999999988358
3.0,1.0,611517154.218945,0.25,0.0300000000024738
3.0,0.0,603409125.492205,0.18999999999869,0.0499999999992724
4.0,1.0,567165142.468536,0.279999999998836,0.0299999999988358
4.0,0.0,564787774.675434,0.209999999999127,0.0299999999988358
5.0,1.0,552828345.243546,0.419999999998254,0.0400000000008731
5.0,0.0,549121970.908695,0.25,0.0400000000008731
6.0,1.0,527522536.232233,0.389999999999418,0.0299999999988358
6.0,0.0,542594168.316605,0.280000000002474,0.0299999999988358
7.0,1.0,544697332.014674,0.389999999999418,0.0299999999988358
7.0,0.0,560306352.073039,0.299999999999272,0.0499999999992724
8.0,1.0,567143037.297996,0.419999999998254,0.0499999999992724
8.0,0.0,526702116.435184,0.31000000000131,0.0300000000024738
9.0,1.0,536288629.537248,0.459999999999127,0.0400000000008731
9.0,0.0,531180391.720338,0.340000000000146,0.0300000000024738
10.0,1.0,541833841.554532,0.510000000002037,0.0499999999992724
10.0,0.0,535707351.678779,0.380000000001019,0.0499999999992724
11.0,1.0,546692744.179289,0.5,0.0499999999992724
11.0,0.0,537898505.190843,0.409999999999854,0.0299999999988358
12.0,1.0,548237583.160786,0.549999999999272,0.0299999999988358
12.0,0.0,517300387.043766,0.370000000002619,0.0299999999988358
13.0,1.0,534651750.361314,0.590000000000146,0.0300000000024738
13.0,0.0,532495486.884059,0.43999999999869,0.0499999999992724
14.0,1.0,551399917.987548,0.629999999997381,0.0299999999988358
14.0,0.0,530003168.078408,0.469999999997526,0.0299999999988358
15.0,1.0,550886435.737344,0.68999999999869,0.0499999999992724
15.0,0.0,544886717.513211,0.470000000001164,0.0499999999992724
16.0,1.0,542662073.573693,0.690000000002328,0.0499999999992724
16.0,0.0,544808147.58664,0.5,0.0299999999988358
17.0,1.0,532167327.266115,0.700000000000728,0.0299999999988358
17.0,0.0,544995670.856311,0.529999999998836,0.0299999999988358
18.0,1.0,533762004.722121,0.739999999997963,0.0400000000008731
18.0,0.0,545302040.775979,0.559999999997672,0.0299999999988358
19.0,1.0,541748824.199956,0.860000000000582,0.0400000000008731
19.0,0.0,548161792.858378,0.610000000000582,0.0400000000008731
20.0,1.0,536958618.170063,0.830000000001746,0.0400000000008731
20.0,0.0,543947834.759127,0.580000000001746,0.0299999999988358
21.0,1.0,541308755.42889,0.860000000000582,0.0400000000008731
21.0,0.0,532193409.1534,0.620000000002619,0.0300000000024738
22.0,1.0,550832817.883995,0.870000000002619,0.0400000000008731
22.0,0.0,552561987.861648,0.669999999998254,0.0300000000024738
23.0,1.0,549427996.822937,0.970000000001164,0.0400000000008731
23.0,0.0,552540993.40604,0.650000000001455,0.0499999999992724
24.0,1.0,559852977.877683,0.909999999999854,0.0299999999988358
24.0,0.0,566106491.885293,0.720000000001164,0.0400000000008731
25.0,1.0,559563595.981939,0.950000000000728,0.0499999999992724
25.0,0.0,549345846.381153,0.719999999997526,0.0499999999992724
26.0,1.0,559135286.802924,1.02999999999884,0.0499999999992724
26.0,0.0,542369910.237623,0.75,0.0400000000008731
27.0,1.0,552092883.280818,1.11000000000058,0.0299999999988358
27.0,0.0,560426606.400326,0.779999999998836,0.0299999999988358
28.0,1.0,564586453.997843,1.04999999999927,0.0499999999992724
28.0,0.0,566326633.51872,0.779999999998836,0.0400000000008731
29.0,1.0,571661335.132235,1.07999999999811,0.0299999999988358
29.0,0.0,565921025.75169,0.829999999998108,0.0299999999988358
30.0,1.0,559411626.164512,1.11000000000058,0.0499999999992724
30.0,0.0,546467809.937745,0.849999999998545,0.0299999999988358
31.0,1.0,555665872.723715,1.17000000000189,0.0499999999992724
31.0,0.0,556273415.951292,0.850000000002183,0.0300000000024738
32.0,1.0,561461572.048036,1.27000000000044,0.0400000000008731
32.0,0.0,565360372.27604,0.909999999999854,0.0299999999988358
33.0,1.0,562044006.182013,1.31999999999971,0.0499999999992724
33.0,0.0,568022524.457109,0.920000000001892,0.0400000000008731
34.0,1.0,561203134.629135,1.22000000000116,0.0299999999988358
34.0,0.0,570393742.427711,0.93999999999869,0.0299999999988358
