num.trees,min.node.size,MSE,runtime_training,runtime_prediction
1.0,1.0,1858084886.31018,0.0299999999988358,0.0199999999967986
1.0,2.0,1604665502.2508,0.0499999999992724,0.0099999999983992
1.0,3.0,1443652692.85297,0.0299999999988358,0.0100000000020373
1.0,4.0,1413597668.54681,0.0300000000024738,0.0200000000004366
1.0,5.0,1805778064.00789,0.0299999999988358,0.0300000000024738
1.0,6.0,1644802411.79135,0.0300000000024738,0.0100000000020373
1.0,7.0,1806411844.25545,0.0299999999988358,0.0299999999988358
1.0,8.0,1887046235.46824,0.0299999999988358,0.0099999999983992
1.0,9.0,1567879973.79084,0.0299999999988358,0.0100000000020373
1.0,10.0,1406080338.69654,0.0300000000024738,0.0200000000004366
1.0,11.0,1784254597.12776,0.0400000000008731,0.0099999999983992
1.0,12.0,1625401955.9234,0.0299999999988358,0.0299999999988358
1.0,13.0,2065845310.41712,0.0200000000004366,0.0200000000004366
1.0,14.0,1914169305.51346,0.0400000000008731,0.0200000000004366
1.0,15.0,1483633919.70215,0.0299999999988358,0.0200000000004366
1.0,16.0,1537457372.14699,0.0199999999967986,0.0300000000024738
1.0,17.0,1558464569.84237,0.0200000000004366,0.0299999999988358
1.0,18.0,1632039231.00393,0.0200000000004366,0.0099999999983992
1.0,19.0,1711143095.09673,0.0299999999988358,0.0100000000020373
1.0,20.0,1496261993.40439,0.0300000000024738,0.0300000000024738
1.0,21.0,1619000195.32375,0.0200000000004366,0.0200000000004366
1.0,22.0,1437305296.22546,0.0299999999988358,0.0099999999983992
1.0,23.0,1604750356.08567,0.0299999999988358,0.0200000000004366
1.0,24.0,1595188909.29653,0.0099999999983992,0.0200000000004366
1.0,25.0,1473613344.64313,0.0299999999988358,0.0299999999988358
1.0,26.0,1562571900.49814,0.0299999999988358,0.0099999999983992
1.0,27.0,1527269030.5716,0.0299999999988358,0.0099999999983992
1.0,28.0,1424775125.73187,0.0199999999967986,0.0200000000004366
1.0,29.0,1524090401.71735,0.0099999999983992,0.0200000000004366
1.0,30.0,1607878312.69626,0.0099999999983992,0.0100000000020373
1.0,31.0,1522197512.89265,0.0299999999988358,0.0099999999983992
1.0,32.0,1662305683.61176,0.0299999999988358,0.0099999999983992
1.0,33.0,1764425060.16525,0.0299999999988358,0.0100000000020373
1.0,34.0,1762986329.84815,0.0200000000004366,0.0299999999988358
1.0,35.0,1745883300.7439,0.0200000000004366,0.0299999999988358
1.0,36.0,1628893335.30773,0.0299999999988358,0.0100000000020373
1.0,37.0,1642072576.34048,0.0300000000024738,0.0100000000020373
1.0,38.0,1612118894.30183,0.0299999999988358,0.0099999999983992
1.0,39.0,1617332453.97298,0.0299999999988358,0.0200000000004366
1.0,40.0,1720088235.5511,0.0300000000024738,0.0300000000024738
1.0,41.0,1748247627.10919,0.0100000000020373,0.0099999999983992
1.0,42.0,1700649369.78162,0.0299999999988358,0.0200000000004366
1.0,43.0,1721797611.4204,0.0299999999988358,0.0200000000004366
1.0,44.0,1697383569.48179,0.0300000000024738,0.0299999999988358
1.0,45.0,1683797734.33505,0.0099999999983992,0.0299999999988358
1.0,46.0,1746914085.74926,0.0200000000004366,0.0200000000004366
1.0,47.0,1676632253.5805,0.0200000000004366,0.0200000000004366
1.0,48.0,1733039875.43326,0.0299999999988358,0.0200000000004366
1.0,49.0,1691284205.51777,0.0299999999988358,0.0400000000008731
