sample.fraction,min.node.size,MSE,runtime_training,runtime_prediction
0.01,1.0,1486961261.56053,0.069999999999709,0.0299999999988358
0.01,2.0,1494705560.56573,0.069999999999709,0.0400000000008731
0.01,3.0,1528543923.48649,0.0400000000008731,0.0299999999988358
0.01,4.0,1570594446.21151,0.0499999999992724,0.0200000000004366
0.01,5.0,1621207327.07837,0.0600000000013097,0.0200000000004366
0.01,6.0,1662750342.96461,0.0499999999992724,0.0299999999988358
0.01,7.0,1723223666.40782,0.0500000000029104,0.0300000000024738
0.01,8.0,1780336907.88281,0.0499999999992724,0.0200000000004366
0.01,9.0,1845517192.70328,0.0600000000013097,0.0200000000004366
0.01,10.0,1903550987.06168,0.069999999999709,0.0299999999988358
0.01,11.0,1947466898.37246,0.0400000000008731,0.0100000000020373
0.01,12.0,2005599013.45039,0.0499999999992724,0.0400000000008731
0.01,13.0,2051917498.31497,0.0499999999992724,0.0100000000020373
0.01,14.0,2099397779.47725,0.0600000000013097,0.0400000000008731
0.01,15.0,2142118477.75506,0.0499999999992724,0.0299999999988358
0.01,16.0,2196313028.6157,0.0499999999992724,0.0200000000004366
0.01,17.0,2261775421.81754,0.0400000000008731,0.0300000000024738
0.01,18.0,2321191969.45349,0.0400000000008731,0.0200000000004366
0.01,19.0,2410817326.60142,0.0499999999992724,0.0100000000020373
0.01,20.0,2553598480.57977,0.0400000000008731,0.0299999999988358
0.01,21.0,2691733344.05852,0.0499999999992724,0.0099999999983992
0.01,22.0,2864488993.09205,0.0400000000008731,0.0200000000004366
0.01,23.0,5523902257.30134,0.0299999999988358,0.0099999999983992
0.01,24.0,5523902257.30134,0.0400000000008731,0.0199999999967986
0.01,25.0,5523902257.30134,0.0499999999992724,0.0200000000004366
0.01,26.0,5523902257.30134,0.0400000000008731,0.0200000000004366
0.01,27.0,5523902257.30134,0.0300000000024738,0.0299999999988358
0.01,28.0,5523902257.30134,0.0499999999992724,0.0200000000004366
0.01,29.0,5523902257.30134,0.0500000000029104,0.0100000000020373
0.01,30.0,5523902257.30134,0.0499999999992724,0.0200000000004366
0.01,31.0,5523902257.30134,0.0400000000008731,0.0300000000024738
0.01,32.0,5523902257.30134,0.0300000000024738,0.0299999999988358
0.01,33.0,5523902257.30134,0.0400000000008731,0.0200000000004366
0.01,34.0,5523902257.30134,0.0500000000029104,0.0100000000020373
0.01,35.0,5523902257.30134,0.0499999999992724,0.0400000000008731
0.01,36.0,5523902257.30134,0.0400000000008731,0.0200000000004366
0.01,37.0,5523902257.30134,0.0400000000008731,0.0200000000004366
0.01,38.0,5523902257.30134,0.0299999999988358,0.0300000000024738
0.01,39.0,5523902257.30134,0.0400000000008731,0.0200000000004366
0.01,40.0,5523902257.30134,0.0499999999992724,0.0299999999988358
0.01,41.0,5523902257.30134,0.0499999999992724,0.0300000000024738
0.01,42.0,5523902257.30134,0.0499999999992724,0.0200000000004366
0.01,43.0,5523902257.30134,0.0499999999992724,0.0100000000020373
0.01,44.0,5523902257.30134,0.0400000000008731,0.0200000000004366
0.01,45.0,5523902257.30134,0.0499999999992724,0.0299999999988358
0.01,46.0,5523902257.30134,0.0299999999988358,0.0300000000024738
0.01,47.0,5523902257.30134,0.0299999999988358,0.0400000000008731
0.01,48.0,5523902257.30134,0.0499999999992724,0.0100000000020373
0.01,49.0,5523902257.30134,0.0400000000008731,0.0200000000004366
0.01,50.0,5523902257.30134,0.0499999999992724,0.0299999999988358
0.02,1.0,1106005984.05676,0.0900000000001455,0.0299999999988358
0.02,2.0,1116369279.93335,0.0600000000013097,0.0300000000024738
0.02,3.0,1136865251.87761,0.069999999999709,0.0299999999988358
0.02,4.0,1146854807.29457,0.0599999999976717,0.0400000000008731
0.02,5.0,1165421931.19308,0.0600000000013097,0.0199999999967986
0.02,6.0,1195852258.71968,0.069999999999709,0.0400000000008731
0.02,7.0,1219629374.10775,0.0600000000013097,0.0200000000004366
0.02,8.0,1249954949.29489,0.0499999999992724,0.0299999999988358
0.02,9.0,1280228526.20222,0.0500000000029104,0.0300000000024738
0.02,10.0,1310907623.27046,0.069999999999709,0.0099999999983992
0.02,11.0,1339168698.19093,0.0600000000013097,0.0099999999983992
0.02,12.0,1382599548.94806,0.0499999999992724,0.0200000000004366
0.02,13.0,1429542692.65489,0.0400000000008731,0.0299999999988358
0.02,14.0,1465766502.6396,0.0600000000013097,0.0200000000004366
0.02,15.0,1508112720.70335,0.0599999999976717,0.0200000000004366
0.02,16.0,1551779754.8566,0.069999999999709,0.0100000000020373
0.02,17.0,1583354020.7058,0.0600000000013097,0.0099999999983992
0.02,18.0,1638129812.55044,0.0499999999992724,0.0299999999988358
0.02,19.0,1683721872.51959,0.0499999999992724,0.0299999999988358
0.02,20.0,1717538653.89834,0.0499999999992724,0.0300000000024738
0.02,21.0,1779517503.0748,0.0400000000008731,0.0200000000004366
0.02,22.0,1816813885.11135,0.069999999999709,0.0099999999983992
0.02,23.0,1854894224.88709,0.0400000000008731,0.0099999999983992
0.02,24.0,1894740374.62941,0.0499999999992724,0.0299999999988358
0.02,25.0,1931166806.80296,0.0500000000029104,0.0300000000024738
0.02,26.0,1962867387.85472,0.0499999999992724,0.0200000000004366
0.02,27.0,1993917873.03009,0.0600000000013097,0.0200000000004366
0.02,28.0,2022316508.72543,0.0499999999992724,0.0299999999988358
0.02,29.0,2054169229.07293,0.0400000000008731,0.0199999999967986
0.02,30.0,2083823594.11214,0.0499999999992724,0.0299999999988358
0.02,31.0,2106366824.36273,0.0400000000008731,0.0200000000004366
0.02,32.0,2121744875.61224,0.0599999999976717,0.0200000000004366
0.02,33.0,2144100144.56412,0.0499999999992724,0.0100000000020373
0.02,34.0,2162072422.85917,0.0499999999992724,0.0299999999988358
0.02,35.0,2181128272.62666,0.0499999999992724,0.0299999999988358
0.02,36.0,2220137626.04965,0.0499999999992724,0.0099999999983992
0.02,37.0,2250158974.30754,0.0499999999992724,0.0299999999988358
0.02,38.0,2287452907.12074,0.0500000000029104,0.0100000000020373
0.02,39.0,2326261465.53274,0.0499999999992724,0.0200000000004366
0.02,40.0,2393128248.013,0.0499999999992724,0.0300000000024738
0.02,41.0,2476643775.00874,0.0499999999992724,0.0200000000004366
0.02,42.0,2569061467.29516,0.0499999999992724,0.0299999999988358
0.02,43.0,2643491386.06467,0.0499999999992724,0.0099999999983992
0.02,44.0,2743232970.5639,0.0499999999992724,0.0099999999983992
0.02,45.0,2820349119.17249,0.0499999999992724,0.0099999999983992
0.02,46.0,5528954370.68619,0.0499999999992724,0.0099999999983992
0.02,47.0,5528954370.68619,0.0300000000024738,0.0299999999988358
0.02,48.0,5528954370.68619,0.0299999999988358,0.0299999999988358
0.02,49.0,5528954370.68619,0.0400000000008731,0.0200000000004366
0.02,50.0,5528954370.68619,0.0499999999992724,0.0299999999988358
0.03,1.0,972479138.842995,0.0800000000017462,0.0299999999988358
0.03,2.0,978058732.744866,0.0799999999981083,0.0299999999988358
0.03,3.0,987289390.691765,0.0799999999981083,0.0200000000004366
0.03,4.0,1000091823.00423,0.0600000000013097,0.0300000000024738
0.03,5.0,1014284079.64513,0.069999999999709,0.0299999999988358
0.03,6.0,1039089929.72581,0.0799999999981083,0.0299999999988358
0.03,7.0,1054921596.03898,0.0600000000013097,0.0100000000020373
0.03,8.0,1069634570.88571,0.0599999999976717,0.0299999999988358
0.03,9.0,1091786786.27254,0.0600000000013097,0.0299999999988358
0.03,10.0,1110735760.15334,0.069999999999709,0.0100000000020373
0.03,11.0,1132488765.97024,0.0600000000013097,0.0299999999988358
0.03,12.0,1146735295.28723,0.0599999999976717,0.0100000000020373
0.03,13.0,1173976111.40675,0.0600000000013097,0.0299999999988358
0.03,14.0,1192671423.27606,0.0600000000013097,0.0299999999988358
0.03,15.0,1214492276.46733,0.0599999999976717,0.0299999999988358
0.03,16.0,1237878278.32707,0.0600000000013097,0.0299999999988358
0.03,17.0,1267201657.73724,0.0599999999976717,0.0200000000004366
0.03,18.0,1286365164.69708,0.0600000000013097,0.0200000000004366
0.03,19.0,1317543970.13804,0.069999999999709,0.0099999999983992
0.03,20.0,1344239240.39821,0.0600000000013097,0.0099999999983992
0.03,21.0,1374098532.4057,0.0599999999976717,0.0200000000004366
0.03,22.0,1400422073.10451,0.0600000000013097,0.0299999999988358
0.03,23.0,1437923034.2969,0.0499999999992724,0.0099999999983992
0.03,24.0,1472565183.21717,0.0499999999992724,0.0099999999983992
0.03,25.0,1501975965.74543,0.0599999999976717,0.0200000000004366
0.03,26.0,1534550133.6296,0.0600000000013097,0.0200000000004366
0.03,27.0,1564492821.50685,0.069999999999709,0.0099999999983992
0.03,28.0,1596114165.93677,0.0600000000013097,0.0099999999983992
0.03,29.0,1631663274.38152,0.0599999999976717,0.0200000000004366
0.03,30.0,1660327455.52696,0.0600000000013097,0.0200000000004366
0.03,31.0,1691317749.83475,0.0499999999992724,0.0299999999988358
0.03,32.0,1727096519.12128,0.0400000000008731,0.0200000000004366
0.03,33.0,1752326472.15459,0.069999999999709,0.0099999999983992
0.03,34.0,1779698293.10677,0.0400000000008731,0.0299999999988358
0.03,35.0,1809370225.22868,0.0499999999992724,0.0200000000004366
0.03,36.0,1834375932.56328,0.0599999999976717,0.0100000000020373
0.03,37.0,1855229061.45445,0.0400000000008731,0.0400000000008731
0.03,38.0,1880726101.54884,0.0499999999992724,0.0299999999988358
0.03,39.0,1905407467.98015,0.0499999999992724,0.0099999999983992
0.03,40.0,1923754496.63153,0.0499999999992724,0.0299999999988358
0.03,41.0,1948613458.12198,0.0499999999992724,0.0099999999983992
0.03,42.0,1966199041.91814,0.0499999999992724,0.0200000000004366
