sample.fraction,replace,MSE,runtime_training,runtime_prediction
0.01,1.0,1621207327.07837,0.0600000000013097,0.0299999999988358
0.01,0.0,1591187647.26523,0.0599999999976717,0.0299999999988358
0.02,1.0,1165421931.19308,0.069999999999709,0.0400000000008731
0.02,0.0,1157127138.43566,0.0600000000013097,0.0299999999988358
0.03,1.0,1014284079.64513,0.0599999999976717,0.0299999999988358
0.03,0.0,1008143742.73841,0.069999999999709,0.0200000000004366
0.04,1.0,903310674.214951,0.0600000000013097,0.0299999999988358
0.04,0.0,930959699.564457,0.0799999999981083,0.0200000000004366
0.05,1.0,864364678.504238,0.0600000000013097,0.0299999999988358
0.05,0.0,874320184.085334,0.0800000000017462,0.0299999999988358
0.06,1.0,811098318.667212,0.0800000000017462,0.0299999999988358
0.06,0.0,837985669.796873,0.100000000002183,0.0300000000024738
0.07,1.0,827214807.86536,0.0800000000017462,0.0300000000024738
0.07,0.0,806331988.906992,0.0900000000001455,0.0300000000024738
0.08,1.0,791531665.191334,0.0900000000001455,0.0299999999988358
0.08,0.0,793937726.364504,0.0900000000001455,0.0299999999988358
0.09,1.0,767133812.875422,0.110000000000582,0.0200000000004366
0.09,0.0,760174088.665794,0.0900000000001455,0.0299999999988358
0.1,1.0,756679108.523404,0.0900000000001455,0.0299999999988358
0.1,0.0,743691682.597325,0.0900000000001455,0.0400000000008731
0.11,1.0,746923219.192399,0.110000000000582,0.0299999999988358
0.11,0.0,732009070.184494,0.0999999999985448,0.0400000000008731
0.12,1.0,737395583.036517,0.110000000000582,0.0299999999988358
0.12,0.0,713824796.001721,0.119999999998981,0.0299999999988358
0.13,1.0,715054082.84971,0.110000000000582,0.0400000000008731
0.13,0.0,701766506.465731,0.130000000001019,0.0099999999983992
0.14,1.0,715598376.157823,0.130000000001019,0.0299999999988358
0.14,0.0,692198367.655479,0.109999999996944,0.0100000000020373
0.15,1.0,713391830.11357,0.110000000000582,0.0100000000020373
0.15,0.0,696110474.109032,0.110000000000582,0.0300000000024738
