min.node.size,replace,MSE,runtime_training,runtime_prediction
1.0,1.0,554860932.969443,0.670000000001892,0.0900000000001455
1.0,0.0,517078847.558261,0.549999999999272,0.0800000000017462
2.0,1.0,556052472.118856,0.580000000001746,0.0499999999992724
2.0,0.0,518228573.566673,0.44999999999709,0.0400000000008731
3.0,1.0,555726955.8465,0.540000000000873,0.069999999999709
3.0,0.0,519604087.201904,0.359999999996944,0.0299999999988358
4.0,1.0,554358701.958288,0.43999999999869,0.0300000000024738
4.0,0.0,528487006.522408,0.349999999998545,0.0300000000024738
5.0,1.0,567143037.297996,0.450000000000728,0.0299999999988358
5.0,0.0,526702116.435184,0.299999999999272,0.0400000000008731
6.0,1.0,560537941.093556,0.420000000001892,0.0500000000029104
6.0,0.0,532374155.003935,0.299999999999272,0.0299999999988358
7.0,1.0,562896908.119631,0.380000000001019,0.0299999999988358
7.0,0.0,540670765.694754,0.279999999998836,0.0299999999988358
8.0,1.0,562766605.621333,0.389999999999418,0.0299999999988358
8.0,0.0,542027082.054078,0.25,0.0299999999988358
9.0,1.0,563171136.950377,0.329999999998108,0.0499999999992724
9.0,0.0,536889160.475428,0.25,0.0300000000024738
10.0,1.0,556274649.209957,0.330000000001746,0.0499999999992724
10.0,0.0,544174132.535796,0.229999999999563,0.0299999999988358
11.0,1.0,559540944.455397,0.31000000000131,0.0400000000008731
11.0,0.0,550070694.609799,0.229999999999563,0.0400000000008731
12.0,1.0,567178566.092931,0.31000000000131,0.0300000000024738
12.0,0.0,548055670.382095,0.220000000001164,0.0299999999988358
13.0,1.0,571992312.5922,0.299999999999272,0.0299999999988358
13.0,0.0,551701979.404493,0.209999999999127,0.0400000000008731
14.0,1.0,575617363.058427,0.290000000000873,0.0299999999988358
14.0,0.0,561925675.628919,0.219999999997526,0.0300000000024738
15.0,1.0,576426880.935444,0.279999999998836,0.0299999999988358
15.0,0.0,557227835.516964,0.200000000000728,0.0499999999992724
16.0,1.0,577513189.148113,0.279999999998836,0.0300000000024738
16.0,0.0,561367195.864179,0.209999999999127,0.0299999999988358
17.0,1.0,582906712.590352,0.280000000002474,0.0299999999988358
17.0,0.0,565094818.744619,0.18999999999869,0.0299999999988358
18.0,1.0,585456089.19665,0.280000000002474,0.0299999999988358
18.0,0.0,575682741.816131,0.18999999999869,0.0299999999988358
19.0,1.0,586203336.946822,0.270000000000437,0.0299999999988358
19.0,0.0,581137074.655563,0.209999999999127,0.0300000000024738
20.0,1.0,587300660.711329,0.319999999999709,0.0400000000008731
20.0,0.0,580209260.941792,0.180000000000291,0.0299999999988358
21.0,1.0,594031074.630392,0.25,0.0299999999988358
21.0,0.0,580073776.788246,0.169999999998254,0.0299999999988358
22.0,1.0,594516262.569927,0.259999999998399,0.0299999999988358
22.0,0.0,583739831.433975,0.170000000001892,0.0300000000024738
23.0,1.0,595546353.16028,0.290000000000873,0.0299999999988358
23.0,0.0,585612097.801774,0.220000000001164,0.0200000000004366
24.0,1.0,592962820.16139,0.279999999998836,0.0400000000008731
24.0,0.0,588459447.664756,0.200000000000728,0.0300000000024738
25.0,1.0,592998102.01278,0.25,0.0300000000024738
25.0,0.0,595381654.882653,0.180000000000291,0.0200000000004366
26.0,1.0,602972461.465293,0.229999999999563,0.0299999999988358
26.0,0.0,601468696.164812,0.170000000001892,0.0300000000024738
27.0,1.0,606158521.725143,0.240000000001601,0.0300000000024738
27.0,0.0,608667288.63284,0.159999999999854,0.0299999999988358
28.0,1.0,604144960.674695,0.240000000001601,0.0300000000024738
28.0,0.0,613476918.934581,0.150000000001455,0.0299999999988358
29.0,1.0,606192607.865584,0.220000000001164,0.0299999999988358
29.0,0.0,619669446.143566,0.169999999998254,0.0299999999988358
30.0,1.0,608128776.041452,0.229999999999563,0.0299999999988358
