mtry,sample.fraction,MSE,runtime_training,runtime_prediction
1.0,0.01,3211127924.31234,0.0800000000017462,0.0299999999988358
1.0,0.02,2641734870.76487,0.0800000000017462,0.0299999999988358
1.0,0.03,2409815556.60407,0.0600000000013097,0.0400000000008731
1.0,0.04,2280065875.47959,0.0600000000013097,0.0299999999988358
1.0,0.05,2122794846.89493,0.0600000000013097,0.0300000000024738
1.0,0.06,2086298544.53915,0.0600000000013097,0.0300000000024738
1.0,0.07,2048963785.44085,0.0799999999981083,0.0300000000024738
1.0,0.08,1920863848.77206,0.069999999999709,0.0299999999988358
1.0,0.09,1778863367.23466,0.0599999999976717,0.0299999999988358
1.0,0.1,1854633339.0111,0.0600000000013097,0.0299999999988358
1.0,0.11,1755752125.78745,0.0600000000013097,0.0299999999988358
1.0,0.12,1687055660.23647,0.0800000000017462,0.0300000000024738
1.0,0.13,1735108726.53481,0.0799999999981083,0.0499999999992724
1.0,0.14,1676315918.56504,0.0800000000017462,0.0300000000024738
1.0,0.15,1645821191.12594,0.0799999999981083,0.0300000000024738
1.0,0.16,1654363965.57882,0.0799999999981083,0.0300000000024738
1.0,0.17,1618983881.69802,0.0799999999981083,0.0099999999983992
1.0,0.18,1631392465.14497,0.0800000000017462,0.0300000000024738
1.0,0.19,1556844159.83577,0.0799999999981083,0.0299999999988358
1.0,0.2,1518517394.47306,0.0900000000001455,0.0299999999988358
1.0,0.21,1580541390.69009,0.0800000000017462,0.0300000000024738
1.0,0.22,1558601427.52514,0.0999999999985448,0.0299999999988358
1.0,0.23,1533816880.90341,0.0800000000017462,0.0500000000029104
1.0,0.24,1516392010.94391,0.0999999999985448,0.0400000000008731
1.0,0.25,1499896464.07721,0.069999999999709,0.0299999999988358
1.0,0.26,1490177910.50454,0.069999999999709,0.0299999999988358
1.0,0.27,1497545200.79854,0.0900000000001455,0.0299999999988358
1.0,0.28,1516418743.59636,0.0900000000001455,0.0299999999988358
1.0,0.29,1452736972.8945,0.0999999999985448,0.0300000000024738
1.0,0.3,1449127398.52151,0.0900000000001455,0.0299999999988358
1.0,0.31,1427128731.6487,0.0800000000017462,0.0300000000024738
1.0,0.32,1453492336.45647,0.0999999999985448,0.0299999999988358
1.0,0.33,1431737206.71438,0.0900000000001455,0.0299999999988358
1.0,0.34,1391694095.37866,0.109999999996944,0.0299999999988358
1.0,0.35,1397157151.34344,0.100000000002183,0.0299999999988358
1.0,0.36,1435985026.57076,0.0800000000017462,0.0499999999992724
1.0,0.37,1444953912.53675,0.0900000000001455,0.0400000000008731
1.0,0.38,1421426501.87133,0.0900000000001455,0.0299999999988358
1.0,0.39,1418010075.37057,0.0900000000001455,0.0499999999992724
1.0,0.4,1412397559.15884,0.0999999999985448,0.0300000000024738
1.0,0.41,1404450617.41193,0.0799999999981083,0.0299999999988358
1.0,0.42,1373617201.29516,0.0900000000001455,0.0299999999988358
1.0,0.43,1329321329.84952,0.0900000000001455,0.0500000000029104
1.0,0.44,1325359783.73527,0.0999999999985448,0.0299999999988358
1.0,0.45,1389627017.54066,0.0999999999985448,0.0299999999988358
1.0,0.46,1330302158.12452,0.100000000002183,0.0299999999988358
1.0,0.47,1357686715.17099,0.0999999999985448,0.0299999999988358
1.0,0.48,1326018614.10268,0.100000000002183,0.0299999999988358
1.0,0.49,1360181628.20713,0.0999999999985448,0.0300000000024738
1.0,0.5,1389966450.37752,0.0900000000001455,0.0299999999988358
1.0,0.51,1338828433.47773,0.110000000000582,0.0400000000008731
1.0,0.52,1317199857.11237,0.0999999999985448,0.0299999999988358
1.0,0.53,1292627544.00548,0.100000000002183,0.0299999999988358
1.0,0.54,1294195218.63496,0.0900000000001455,0.0400000000008731
1.0,0.55,1346556976.54437,0.0900000000001455,0.0400000000008731
1.0,0.56,1284489165.0732,0.0900000000001455,0.0299999999988358
1.0,0.57,1305654395.97618,0.0900000000001455,0.0299999999988358
1.0,0.58,1320898945.24342,0.120000000002619,0.0300000000024738
1.0,0.59,1297651806.59612,0.0900000000001455,0.0299999999988358
1.0,0.6,1291676667.53079,0.0900000000001455,0.0299999999988358
1.0,0.61,1290758948.87801,0.0900000000001455,0.0299999999988358
1.0,0.62,1273692215.29563,0.110000000000582,0.0299999999988358
1.0,0.63,1308684846.80897,0.109999999996944,0.0299999999988358
1.0,0.64,1279662719.2843,0.0900000000001455,0.0300000000024738
1.0,0.65,1297594149.35347,0.110000000000582,0.0299999999988358
1.0,0.66,1307992138.58612,0.0900000000001455,0.0299999999988358
1.0,0.67,1331049136.162,0.110000000000582,0.0299999999988358
1.0,0.68,1304421612.95765,0.129999999997381,0.0299999999988358
1.0,0.69,1268471433.65897,0.110000000000582,0.0299999999988358
1.0,0.7,1250085081.32459,0.110000000000582,0.0400000000008731
1.0,0.71,1256490729.65723,0.139999999999418,0.0299999999988358
1.0,0.72,1259851196.6763,0.109999999996944,0.0299999999988358
1.0,0.73,1292632205.88753,0.130000000001019,0.0400000000008731
1.0,0.74,1248565076.03071,0.0900000000001455,0.0299999999988358
1.0,0.75,1290374692.37165,0.110000000000582,0.0300000000024738
1.0,0.76,1272590970.20957,0.110000000000582,0.0300000000024738
1.0,0.77,1245632331.42879,0.119999999998981,0.0400000000008731
1.0,0.78,1295297338.00925,0.110000000000582,0.0299999999988358
1.0,0.79,1279918761.20542,0.109999999996944,0.0299999999988358
1.0,0.8,1237887439.87607,0.110000000000582,0.0299999999988358
1.0,0.81,1246727284.86944,0.110000000000582,0.0299999999988358
1.0,0.82,1241888851.77136,0.110000000000582,0.0300000000024738
1.0,0.83,1258961779.46457,0.110000000000582,0.0299999999988358
1.0,0.84,1257954041.38574,0.169999999998254,0.0299999999988358
1.0,0.85,1252856477.18149,0.119999999998981,0.0299999999988358
1.0,0.86,1193615337.19077,0.110000000000582,0.0299999999988358
1.0,0.87,1263746084.71458,0.139999999999418,0.0299999999988358
1.0,0.88,1243360049.04008,0.130000000001019,0.0300000000024738
1.0,0.89,1218522133.19038,0.110000000000582,0.0499999999992724
1.0,0.9,1198323833.09936,0.110000000000582,0.0400000000008731
1.0,0.91,1222103121.2628,0.130000000001019,0.0499999999992724
1.0,0.92,1246578572.65614,0.150000000001455,0.0600000000013097
1.0,0.93,1250740798.52183,0.140000000003056,0.0300000000024738
1.0,0.94,1242485719.57283,0.110000000000582,0.0299999999988358
1.0,0.95,1228784175.15174,0.0999999999985448,0.0299999999988358
1.0,0.96,1211593781.17734,0.120000000002619,0.0400000000008731
1.0,0.97,1224148930.28533,0.150000000001455,0.0499999999992724
1.0,0.98,1228137907.30793,0.120000000002619,0.0499999999992724
1.0,0.99,1227688106.46855,0.159999999999854,0.0499999999992724
1.0,1.0,1228780723.14325,0.149999999997817,0.0499999999992724
2.0,0.01,2188834187.55409,0.0600000000013097,0.0299999999988358
2.0,0.02,1694887391.65588,0.0900000000001455,0.0299999999988358
2.0,0.03,1411110856.49572,0.0800000000017462,0.0299999999988358
2.0,0.04,1365602231.66623,0.0900000000001455,0.0300000000024738
2.0,0.05,1275177357.48685,0.0799999999981083,0.0300000000024738
2.0,0.06,1177053675.89005,0.0900000000001455,0.0299999999988358
2.0,0.07,1125890786.40403,0.100000000002183,0.0400000000008731
2.0,0.08,1093267997.82622,0.0900000000001455,0.0299999999988358
