num.trees,sample.fraction,MSE,runtime_training,runtime_prediction
1.0,0.01,4131382427.11635,0.0299999999988358,0.0199999999986176
1.0,0.02,3576549273.92919,0.0299999999988358,0.0200000000004366
1.0,0.03,2919799368.65104,0.0300000000006548,0.0100000000002183
1.0,0.04,3613530739.33249,0.0300000000006548,0.0100000000002183
1.0,0.05,2437935200.96345,0.0299999999988358,0.0100000000002183
1.0,0.06,2077806446.03278,0.0300000000006548,0.0100000000002183
1.0,0.07,2400620208.06047,0.0300000000006548,0.0200000000004366
1.0,0.08,2327915439.00874,0.0299999999988358,0.0200000000004366
1.0,0.09,2090323218.25372,0.0400000000008731,0.0400000000008731
1.0,0.1,2025148093.35224,0.0299999999988358,0.0100000000002183
1.0,0.11,1960981348.77156,0.0099999999983992,0.0200000000004366
1.0,0.12,2130228872.34662,0.0400000000008731,0.0299999999988358
1.0,0.13,2133102607.33153,0.0100000000002183,0.0100000000002183
1.0,0.14,2199571826.30131,0.0300000000006548,0.0200000000004366
1.0,0.15,2201815443.49951,0.0199999999986176,0.0200000000004366
1.0,0.16,2466945145.57374,0.0400000000008731,0.0400000000008731
1.0,0.17,2645619387.10742,0.0299999999988358,0.0100000000002183
1.0,0.18,2068578824.18926,0.0200000000004366,0.0200000000004366
1.0,0.19,2193815993.85227,0.0200000000004366,0.0200000000004366
1.0,0.2,2492181319.31933,0.0300000000006548,0.0100000000002183
1.0,0.21,2103993502.61911,0.0100000000002183,0.0200000000004366
1.0,0.22,2487397973.90314,0.0200000000004366,0.0099999999983992
1.0,0.23,2494706480.26753,0.0200000000004366,0.0200000000004366
1.0,0.24,2816032262.67112,0.0100000000002183,0.0299999999988358
1.0,0.25,2206778235.33469,0.0300000000006548,0.0100000000002183
1.0,0.26,2052794833.27639,0.0299999999988358,0.0200000000004366
1.0,0.27,2184405938.33222,0.0299999999988358,0.0200000000004366
1.0,0.28,2311429912.35927,0.0400000000008731,0.0100000000002183
1.0,0.29,1682088174.28681,0.0300000000006548,0.0199999999986176
1.0,0.3,1814151762.27899,0.0300000000006548,0.0100000000002183
1.0,0.31,2017401279.00791,0.0300000000006548,0.0200000000004366
1.0,0.32,2245753348.0473,0.0199999999986176,0.0300000000006548
1.0,0.33,1715660711.1387,0.0200000000004366,0.0200000000004366
1.0,0.34,1869691159.50875,0.0299999999988358,0.0200000000004366
1.0,0.35,2050504906.39891,0.0300000000006548,0.0199999999986176
1.0,0.36,2103166367.3621,0.0299999999988358,0.0300000000006548
1.0,0.37,2001640861.40019,0.0300000000006548,0.0199999999986176
1.0,0.38,2006472445.70814,0.0300000000006548,0.0299999999988358
1.0,0.39,1669858540.71685,0.0399999999990541,0.0100000000002183
1.0,0.4,2292806363.32547,0.0300000000006548,0.0300000000006548
1.0,0.41,2259699161.98874,0.0299999999988358,0.0200000000004366
1.0,0.42,1558370203.44591,0.0400000000008731,0.0100000000002183
1.0,0.43,1928312863.10377,0.0300000000006548,0.0100000000002183
1.0,0.44,1538173705.75601,0.0100000000002183,0.0200000000004366
1.0,0.45,1800180379.92582,0.0299999999988358,0.0200000000004366
1.0,0.46,2320031757.95578,0.0400000000008731,0.0200000000004366
1.0,0.47,2067308527.75967,0.0300000000006548,0.0299999999988358
1.0,0.48,1599397838.29829,0.0299999999988358,0.0300000000006548
1.0,0.49,1886429142.54576,0.0500000000010914,0.0300000000006548
1.0,0.5,1566226190.98999,0.0200000000004366,0.0100000000002183
1.0,0.51,1450726265.29158,0.0300000000006548,0.0100000000002183
1.0,0.52,1801057850.87725,0.0299999999988358,0.0100000000002183
1.0,0.53,2314067256.38717,0.0100000000002183,0.0299999999988358
1.0,0.54,1888088594.21816,0.0499999999992724,0.0200000000004366
1.0,0.55,1842739767.08296,0.0300000000006548,0.0100000000002183
1.0,0.56,1821660302.91923,0.0300000000006548,0.0300000000006548
1.0,0.57,1730877968.58543,0.0299999999988358,0.0200000000004366
1.0,0.58,2040674186.63381,0.0400000000008731,0.0199999999986176
1.0,0.59,1718203543.19742,0.0300000000006548,0.0100000000002183
