"Parameter1","Value1","Parameter2","Value2","MSE","runtime_training","runtime_prediction"
"num.trees",1,"mtry",1,2292818332.22624,0.0700000000006185,0.0100000000002183
"num.trees",1,"mtry",2,2390497866.36267,0.0300000000006548,0.0200000000004366
"num.trees",1,"mtry",3,2157343761.35737,0.0299999999997453,0.0300000000006548
"num.trees",1,"mtry",4,2136586664.676,0.0299999999997453,0.0299999999997453
"num.trees",1,"mtry",5,2077734141.04533,0.0299999999997453,0.0200000000004366
"num.trees",1,"mtry",6,1471391602.62878,0.0299999999997453,0.0299999999997453
"num.trees",1,"mtry",7,1613091403.45354,0.0399999999999636,0.0100000000002183
"num.trees",1,"mtry",8,1805778064.00789,0.0299999999997453,0.0100000000002183
"num.trees",1,"mtry",9,1537794130.22885,0.0299999999997453,0.0100000000002183
"num.trees",1,"mtry",10,1869441736.01881,0.0100000000002183,0.00999999999930878
"num.trees",1,"mtry",11,1697068666.09299,0.0299999999997453,0.0100000000002183
"num.trees",1,"mtry",12,1850530489.81861,0.0299999999997453,0.0200000000004366
"num.trees",1,"mtry",13,1774857900.19443,0.0299999999997453,0.0799999999999272
"num.trees",1,"mtry",14,1775665960.13677,0.0299999999997453,0.00999999999930878
"num.trees",1,"mtry",15,1741317839.66249,0.0299999999997453,0.0100000000002183
"num.trees",1,"mtry",16,1977337143.59447,0.0500000000001819,0.0199999999995271
"num.trees",1,"mtry",17,1608060129.53748,0.0299999999997453,0.0100000000002183
"num.trees",1,"mtry",18,1477254570.18427,0.0399999999999636,0.0200000000004366
"num.trees",1,"mtry",19,1396704671.80067,0.0399999999999636,0.0299999999997453
"num.trees",1,"mtry",20,1727781891.6735,0.0299999999997453,0.0100000000002183
"num.trees",1,"mtry",21,1975650040.45366,0.0299999999997453,0.0299999999997453
"num.trees",1,"mtry",22,1756656601.67633,0.0399999999999636,0.0300000000006548
"num.trees",1,"mtry",23,1174634571.0193,0.0299999999997453,0.0399999999999636
"num.trees",1,"mtry",24,1725660416.07442,0.0500000000001819,0.00999999999930878
"num.trees",1,"mtry",25,1894487226.16987,0.0299999999997453,0.0100000000002183
"num.trees",1,"mtry",26,1976531386.89603,0.0299999999997453,0.0100000000002183
"num.trees",1,"mtry",27,2095239280.33237,0.0399999999999636,0.0199999999995271
"num.trees",1,"mtry",28,1543708514.09153,0.0300000000006548,0.0299999999997453
"num.trees",1,"mtry",29,1882583320.70207,0.0500000000001819,0.0199999999995271
"num.trees",1,"mtry",30,1770129837.02194,0.0500000000001819,0.0199999999995271
"num.trees",1,"mtry",31,1703171338.00474,0.0700000000006185,0.0200000000004366
"num.trees",1,"mtry",32,1167141476.9714,0.0499999999992724,0.0299999999997453
"num.trees",1,"mtry",33,1557063088.49202,0.0399999999999636,0.0199999999995271
"num.trees",1,"mtry",34,1383675984.43838,0.0299999999997453,0.0299999999997453
"num.trees",1,"mtry",35,1749269080.85738,0.130000000000109,0.0100000000002183
"num.trees",1,"mtry",36,1595682278.92833,0.0599999999994907,0.00999999999930878
"num.trees",1,"mtry",37,1932059391.00509,0.0600000000004002,0.0200000000004366
"num.trees",1,"mtry",38,1670597229.05521,0.0399999999999636,0.0199999999995271
