"","num_trees","sample_fraction","mtry","replace","min_node_size","mse","runtime_training","runtime_prediction"
"1",NA,NA,NA,0,12,10464291410.9683,0.19800000000032,0.0279999999998836
"2",NA,NA,NA,1,33,10817149199.3577,0.220000000000437,0.0339999999996508
"3",NA,NA,NA,0,41,10453185074.1485,0.141999999999098,0.0320000000014261
"4",NA,NA,NA,0,13,10906667709.2,0.193999999999505,0.0299999999995634
"5",NA,NA,NA,0,50,10145986544.0353,0.115999999999622,0.0260000000009313
"6",NA,NA,NA,0,3,10748224399.9509,0.312000000000262,0.0419999999998254
"7",NA,NA,NA,1,27,10844714208.8807,0.2,0.0359999999993306
"8",NA,NA,NA,1,5,10772377731.151,0.362000000000262,0.0419999999990978
"9",NA,NA,NA,0,10,10451334666.7126,0.214000000001397,0.0340000000018335
"10",NA,NA,NA,1,29,10741989037.4443,0.2,0.0320000000014261
"11",NA,NA,NA,1,5,10812402491.6921,0.385999999999331,0.0500000000007276
"12",NA,NA,NA,0,22,10401833737.496,0.181999999999243,0.0339999999996508
"13",NA,NA,NA,1,2,10797231604.678,0.523999999999796,0.0540000000008149
"14",NA,NA,NA,0,12,10469042898.9068,0.211999999999534,0.0360000000015134
"15",NA,NA,NA,0,43,10372403072.7975,0.144000000000233,0.0299999999995634
"16",NA,NA,NA,1,22,10708644347.5081,0.216000000001077,0.0380000000004657
"17",NA,NA,NA,1,47,10531024935.0339,0.185999999999331,0.030000000000291
"18",NA,NA,NA,1,50,10629903822.0298,0.171999999999389,0.0279999999984284
"19",NA,NA,NA,1,33,10712023750.2754,0.20199999999968,0.0340000000003784
"20",NA,NA,NA,0,6,10757500236.603,0.240000000000146,0.0340000000003784
"21",NA,NA,NA,1,14,10752730016.9808,0.278000000000611,0.0319999999999709
"22",NA,NA,NA,0,45,10194709389.6644,0.126000000000931,0.0260000000002037
"23",NA,NA,NA,0,36,10350079313.9846,0.128000000001339,0.0340000000003784
"24",NA,NA,NA,0,45,10126523217.9888,0.142000000001281,0.0319999999999709
"25",NA,NA,NA,0,34,10076855911.1952,0.141999999999098,0.0299999999995634
"26",NA,NA,NA,0,47,10247131649.7066,0.130000000000291,0.0299999999995634
"27",NA,NA,NA,1,17,10426963400.9297,0.247999999999593,0.0360000000000582
"28",NA,NA,NA,0,32,10377582294.2273,0.146000000001368,0.0300000000010186
"29",NA,NA,NA,0,24,10474460314.604,0.147999999999593,0.030000000000291
"30",NA,NA,NA,0,35,10217020875.4189,0.144000000000233,0.0260000000002037
"31",NA,NA,NA,1,13,10731780679.7238,0.272000000000116,0.0339999999996508
"32",NA,NA,NA,1,20,10548878503.0101,0.231999999999243,0.0340000000003784
"33",NA,NA,NA,0,42,10403885417.176,0.131999999999971,0.0319999999999709
"34",NA,NA,NA,0,27,10456958763.865,0.181999999999243,0.0320000000006985
"35",NA,NA,NA,0,10,10748579881.6672,0.225999999999476,0.0419999999998254
"36",NA,NA,NA,1,6,10728177184.3792,0.366000000001077,0.035999999998603
"37",NA,NA,NA,1,43,10314464843.2084,0.181999999999243,0.0299999999995634
"38",NA,NA,NA,0,17,10402943175.7391,0.184000000000378,0.0339999999996508
"39",NA,NA,NA,0,25,10515235292.421,0.158000000000175,0.0299999999995634
"40",NA,NA,NA,0,5,10704847142.4629,0.312000000000262,0.0480000000003201
"41",NA,NA,NA,1,42,10361876391.7957,0.20199999999968,0.0440000000009604
"42",NA,NA,NA,0,29,10202666653.8981,0.170000000000437,0.0279999999998836
"43",NA,NA,NA,1,41,10492953201.5327,0.188000000000466,0.0319999999999709
"44",NA,NA,NA,1,8,10741606476.5839,0.379999999999563,0.0340000000003784
"45",NA,NA,NA,1,12,10421904867.5651,0.293999999999505,0.0340000000018335
"46",NA,NA,NA,1,29,10708732757.8664,0.213999999999942,0.030000000000291
"47",NA,NA,NA,0,19,10500134195.4366,0.164000000000669,0.0320000000006985
"48",NA,NA,NA,1,19,10921549756.3964,0.25399999999936,0.0359999999993306
"49",NA,NA,NA,0,34,10520248764.5593,0.136000000000058,0.0279999999998836
"50",NA,NA,NA,0,36,10080456807.9727,0.136000000000058,0.0279999999998836
"51",NA,NA,NA,1,6,10867282952.3797,0.34800000000032,0.0440000000002328
"52",NA,NA,NA,1,46,10630931449.1374,0.190000000000146,0.0319999999999709
"53",NA,NA,NA,0,35,10139060130.4236,0.133999999999651,0.0319999999992433
"54",NA,NA,NA,1,42,10520271055.7496,0.195999999999913,0.0360000000007858
"55",NA,NA,NA,0,20,10487137371.5547,0.168000000000029,0.0319999999999709
"56",NA,NA,NA,0,45,10491773176.8916,0.123999999999069,0.030000000000291
"57",NA,NA,NA,0,22,10447343100.3426,0.172000000000116,0.030000000000291
"58",NA,NA,NA,0,29,10655340101.8509,0.191999999999825,0.0419999999998254
"59",NA,NA,NA,0,43,10313295740.7137,0.143999999998778,0.0440000000009604
"60",NA,NA,NA,0,47,10122173439.4529,0.14600000000064,0.0280000000006112
"61",NA,NA,NA,1,22,10814891605.6689,0.243999999998778,0.0339999999996508
"62",NA,NA,NA,1,7,10935352221.5897,0.341999999999098,0.0419999999990978
"63",NA,NA,NA,1,47,10571453216.8078,0.192000000001281,0.0339999999996508
"64",NA,NA,NA,1,47,10347422979.1175,0.181999999999243,0.0339999999996508
"65",NA,NA,NA,1,17,11168991473.6591,0.266000000000349,0.0299999999995634
"66",NA,NA,NA,0,23,10252783224.9332,0.168000000000757,0.0320000000006985
"67",NA,NA,NA,0,21,10686509616.5082,0.168000000000757,0.0340000000003784
"68",NA,NA,NA,1,12,10996346854.6368,0.322000000000116,0.0380000000004657
"69",NA,NA,NA,0,39,10296875521.4454,0.14800000000032,0.0300000000010186
"70",NA,NA,NA,0,4,10785858733.1147,0.31200000000099,0.0460000000006403
"71",NA,NA,NA,0,8,10575035393.4206,0.241999999999825,0.0319999999999709
