"","num_trees","sample_fraction","mtry","replace","min_node_size","mse","runtime_training","runtime_prediction"
"1",NA,NA,30,NA,2,11458121056.2807,1.19200000000092,0.0500000000003638
"2",NA,NA,24,NA,20,10990190164.3687,0.471999999999389,0.0359999999996944
"3",NA,NA,47,NA,18,11304874645.9033,0.857999999999811,0.0340000000007421
"4",NA,NA,40,NA,19,11503605332.1201,0.743999999999869,0.0299999999999272
"5",NA,NA,7,NA,44,10728613356.098,0.155999999999767,0.0299999999999272
"6",NA,NA,23,NA,15,10795731456.0856,0.520000000000437,0.0299999999999272
"7",NA,NA,51,NA,2,11469742211.2851,2.00600000000086,0.0500000000007276
"8",NA,NA,25,NA,36,10947570340.3117,0.399999999999636,0.0319999999996071
"9",NA,NA,24,NA,6,10717143939.4378,0.743999999999505,0.0359999999989668
"10",NA,NA,39,NA,25,11042513452.8899,0.658000000000538,0.0320000000006985
"11",NA,NA,24,NA,38,10873971153.2172,0.381999999999971,0.0279999999998836
"12",NA,NA,7,NA,28,10077078332.5626,0.196000000000276,0.0279999999998836
"13",NA,NA,19,NA,8,11103695643.2915,0.559999999999491,0.0399999999990541
"14",NA,NA,37,NA,4,11592533743.4367,1.19200000000019,0.0340000000000146
"15",NA,NA,8,NA,36,10715146484.4258,0.186000000000058,0.0279999999998836
"16",NA,NA,4,NA,9,10357549366.6496,0.226000000000204,0.0340000000000146
"17",NA,NA,55,NA,32,11032028539.561,0.79800000000032,0.0319999999999709
"18",NA,NA,50,NA,20,11008171656.3429,0.887999999999738,0.0279999999998836
"19",NA,NA,3,NA,15,10317568089.042,0.163999999999942,0.0420000000001892
"20",NA,NA,50,NA,30,11366077603.9291,0.755999999999767,0.0319999999999709
"21",NA,NA,59,NA,41,11132880052.378,0.781999999999971,0.0279999999998836
"22",NA,NA,28,NA,10,11249729343.5146,0.686000000000058,0.0380000000001019
"23",NA,NA,27,NA,4,10937602930.762,0.915999999999622,0.0340000000003784
"24",NA,NA,29,NA,46,10688135339.6249,0.418000000000029,0.0319999999996071
"25",NA,NA,5,NA,12,10376725659.6229,0.217999999999665,0.0400000000001455
"26",NA,NA,55,NA,9,11098123311.3353,1.31400000000031,0.0380000000004657
"27",NA,NA,26,NA,12,11002152445.4943,0.62400000000016,0.0339999999996508
"28",NA,NA,46,NA,28,10906257576.6442,0.736000000000786,0.0320000000006985
"29",NA,NA,10,NA,26,10832840759.9479,0.239999999999782,0.0299999999995634
"30",NA,NA,28,NA,11,11219391489.5055,0.676000000000204,0.0340000000007421
"31",NA,NA,28,NA,23,10986437575.7699,0.516000000000349,0.0360000000000582
"32",NA,NA,32,NA,45,10901590288.997,0.454000000000087,0.0300000000006548
"33",NA,NA,35,NA,29,10893051398.6361,0.590000000000146,0.0259999999994761
"34",NA,NA,36,NA,15,11168576651.493,0.757999999999447,0.0340000000003784
"35",NA,NA,5,NA,30,10527828138.7232,0.155999999999767,0.0320000000006985
"36",NA,NA,33,NA,41,11429640219.9151,0.459999999999491,0.0239999999997963
"37",NA,NA,60,NA,5,11619358885.0937,1.6880000000001,0.0339999999996508
"38",NA,NA,53,NA,28,10793915646.5303,0.826000000000204,0.0299999999995634
"39",NA,NA,48,NA,49,10958335348.759,0.589999999999418,0.0239999999994325
"40",NA,NA,49,NA,36,11199188431.7542,0.670000000000073,0.0260000000002037
"41",NA,NA,59,NA,37,11099716140.8086,0.803999999999723,0.0219999999997526
"42",NA,NA,30,NA,19,11251354566.7569,0.802000000000044,0.0520000000000437
"43",NA,NA,15,NA,36,11043596240.2813,0.311999999999898,0.0280000000006112
"44",NA,NA,34,NA,41,11085781127.4523,0.540000000000509,0.0320000000003347
"45",NA,NA,43,NA,8,11202927085.4501,1.15799999999981,0.0340000000000146
"46",NA,NA,47,NA,27,11088198798.4451,0.814000000000306,0.0320000000003347
"47",NA,NA,16,NA,42,10767369104.2993,0.292000000000189,0.0299999999999272
"48",NA,NA,45,NA,3,11287538101.9805,1.76999999999971,0.0499999999996362
"49",NA,NA,16,NA,17,11242322939.7457,0.40199999999968,0.0320000000003347
"50",NA,NA,57,NA,8,11355905212.5875,1.47199999999975,0.0400000000001455
"51",NA,NA,16,NA,13,10936440236.4286,0.45199999999968,0.0379999999997381
"52",NA,NA,45,NA,47,11042018561.0831,0.610000000000218,0.030000000000291
"53",NA,NA,35,NA,33,11216410418.1237,0.584000000000015,0.0299999999995634
"54",NA,NA,39,NA,35,11095513991.3786,0.64800000000032,0.030000000000291
"55",NA,NA,34,NA,29,10764903913.7095,0.670000000000437,0.0340000000007421
"56",NA,NA,33,NA,47,10848464555.5255,0.498000000000684,0.0340000000003784
"57",NA,NA,16,NA,19,10601859838.2929,0.395999999999913,0.0319999999992433
"58",NA,NA,38,NA,43,10897269049.3423,0.563999999999578,0.0299999999995634
"59",NA,NA,41,NA,14,11197931870.6531,0.915999999999985,0.0380000000004657
"60",NA,NA,28,NA,13,10769750534.4595,0.684000000000015,0.0380000000001019
"61",NA,NA,49,NA,49,11373972372.3882,0.661999999999534,0.0299999999995634
"62",NA,NA,33,NA,15,11354150969.9865,0.757999999999447,0.0360000000000582
"63",NA,NA,30,NA,22,11189192177.5401,0.592000000000553,0.0299999999999272
"64",NA,NA,14,NA,39,10767036223.7227,0.276000000000204,0.0299999999999272
"65",NA,NA,8,NA,21,10775682667.3477,0.249999999999636,0.0299999999999272
"66",NA,NA,33,NA,29,11078215799.9282,0.585999999999694,0.0319999999996071
"67",NA,NA,34,NA,42,10491164650.8082,0.527999999999884,0.0319999999999709
"68",NA,NA,35,NA,40,10891468016.1871,0.544000000000233,0.030000000000291
"69",NA,NA,10,NA,44,10474009256.5301,0.204000000000451,0.0300000000006548
"70",NA,NA,22,NA,24,11303576384.9178,0.459999999999854,0.030000000000291
"71",NA,NA,25,NA,5,11267205241.8976,0.881999999999607,0.0419999999998254
"72",NA,NA,47,NA,31,11031900954.8967,0.768000000000029,0.0279999999998836
"73",NA,NA,5,NA,45,10258848150.7603,0.150000000000728,0.030000000000291
"74",NA,NA,3,NA,9,10121201217.7107,0.199999999999636,0.0379999999997381
"75",NA,NA,44,NA,16,11081025414.3732,0.926000000000204,0.030000000000291
"76",NA,NA,41,NA,4,11001351201.7259,1.4940000000006,0.0460000000002765
"77",NA,NA,23,NA,16,10995544330.6877,0.547999999999593,0.0339999999996508
"78",NA,NA,1,NA,2,8133976637.29586,0.113999999999942,0.0339999999996508
"79",NA,NA,48,NA,41,11177887472.0696,0.705999999999767,0.0200000000000728
"80",NA,NA,31,NA,2,11372766261.7231,1.37800000000025,0.0580000000001746
"81",NA,NA,48,NA,12,11605540186.3138,1.21800000000039,0.0340000000003784
"82",NA,NA,18,NA,22,10703233731.5263,0.42599999999984,0.036000000000422
"83",NA,NA,20,NA,26,10760647815.5302,0.405999999999767,0.0339999999996508
"84",NA,NA,35,NA,46,11151616116.2722,0.511999999999898,0.0280000000002474
"85",NA,NA,18,NA,2,11176148700.1576,0.9,0.0619999999998981
"86",NA,NA,41,NA,9,11254359403.488,1.07599999999984,0.0380000000001019
"87",NA,NA,42,NA,29,10974057794.0362,0.720000000000073,0.0299999999999272
"88",NA,NA,10,NA,13,10837199322.9478,0.327999999999884,0.0419999999998254
"89",NA,NA,15,NA,7,11038359996.8518,0.534000000000015,0.0440000000002328
"90",NA,NA,40,NA,2,11269770073.2282,1.69799999999996,0.0519999999996799
"91",NA,NA,47,NA,48,11048713996.4792,0.639999999999782,0.0240000000005239
"92",NA,NA,38,NA,27,11072806895.6826,0.708000000000538,0.0360000000000582
"93",NA,NA,20,NA,31,10946209672.6763,0.383999999999287,0.0319999999996071
"94",NA,NA,3,NA,30,10085307855.4155,0.145999999999913,0.0299999999999272
"95",NA,NA,31,NA,9,11125625673.2557,0.870000000000437,0.0360000000000582
"96",NA,NA,49,NA,47,10828034114.3686,0.671999999999753,0.0299999999999272
"97",NA,NA,15,NA,42,11182100415.3054,0.279999999999927,0.030000000000291
"98",NA,NA,4,NA,4,10798079754.0697,0.331999999999243,0.0479999999995925
"99",NA,NA,24,NA,14,11082299725.8038,0.600000000000364,0.0299999999995634
"100",NA,NA,10,NA,2,11038322612.8607,0.592000000000189,0.0680000000000291
"101",NA,NA,15,NA,47,10726441489.9748,0.270000000000437,0.0319999999999709
"102",NA,NA,40,NA,3,11174657155.3705,1.52999999999993,0.042000000000553
"103",NA,NA,54,NA,49,11280515342.5227,0.718000000000393,0.0279999999998836
"104",NA,NA,48,NA,17,11375227036.1408,1.00000000000036,0.0320000000006985
