"","num_trees","sample_fraction","mtry","replace","min_node_size","mse","runtime_training","runtime_prediction"
"1",NA,NA,34,0,NA,11439574859.412,0.8,0.0440000000005966
"2",NA,NA,55,0,NA,11195761896.1486,1.13399999999929,0.0439999999995052
"3",NA,NA,29,0,NA,10974698200.3403,0.681999999999971,0.0459999999999127
"4",NA,NA,8,0,NA,10606416777.8944,0.336000000000422,0.042000000000553
"5",NA,NA,34,1,NA,10915771950.065,1.5,0.0599999999998545
"6",NA,NA,54,1,NA,10747032356.5043,2.21600000000035,0.0559999999997672
"7",NA,NA,43,0,NA,10916220912.5031,1.21599999999926,0.043999999999869
"8",NA,NA,50,1,NA,11086320781.8153,1.83600000000006,0.0540000000000873
"9",NA,NA,47,0,NA,11124946904.2469,1.10200000000004,0.0440000000002328
"10",NA,NA,23,0,NA,10924941090.5223,0.636000000000422,0.043999999999869
"11",NA,NA,48,0,NA,11345579751.2686,1.11000000000022,0.0420000000001892
"12",NA,NA,23,0,NA,11268471261.9694,0.595999999999913,0.0380000000001019
"13",NA,NA,11,0,NA,11020438797.006,0.37200000000048,0.0380000000004657
"14",NA,NA,54,0,NA,11107050219.2382,1.22200000000084,0.0440000000009604
"15",NA,NA,39,0,NA,11503594765.3102,0.964000000000306,0.0380000000004657
"16",NA,NA,35,0,NA,11278455703.92,0.806000000000131,0.0400000000008731
"17",NA,NA,7,1,NA,10776811219.9775,0.404000000000087,0.0459999999999127
"18",NA,NA,56,1,NA,11223307671.8769,1.82599999999984,0.0439999999995052
"19",NA,NA,2,0,NA,9824568473.04276,0.144000000000597,0.0440000000002328
"20",NA,NA,7,1,NA,10801638673.9024,0.401999999999316,0.0419999999998254
"21",NA,NA,36,0,NA,11479395641.8041,0.87799999999952,0.0379999999993743
"22",NA,NA,30,1,NA,11162191526.0623,1.12399999999943,0.0440000000002328
"23",NA,NA,42,1,NA,11393609245.2641,1.39399999999987,0.043999999999869
"24",NA,NA,52,0,NA,11152189771.5405,1.10200000000004,0.0380000000001019
"25",NA,NA,40,1,NA,10935681348.0312,1.33199999999961,0.0459999999999127
"26",NA,NA,12,0,NA,11262549439.3743,0.397999999999593,0.0419999999998254
"27",NA,NA,46,0,NA,11312833130.8882,1.78000000000029,0.0520000000004075
"28",NA,NA,21,1,NA,11385865138.343,0.989999999999782,0.0520000000000437
"29",NA,NA,15,0,NA,10848394258.5419,0.47400000000016,0.0460000000006403
"30",NA,NA,51,1,NA,11241492535.2286,1.74599999999991,0.0459999999999127
"31",NA,NA,21,1,NA,10976194531.646,0.889999999999782,0.0459999999995489
"32",NA,NA,27,0,NA,11435361053.0168,0.713999999999942,0.043999999999869
"33",NA,NA,45,1,NA,11422039250.8693,1.60200000000041,0.043999999999869
"34",NA,NA,35,1,NA,11217810610.0475,1.35600000000013,0.0459999999999127
"35",NA,NA,3,1,NA,10503502214.9569,0.268000000000029,0.0479999999999563
"36",NA,NA,21,0,NA,11161544740.5731,0.655999999999767,0.0440000000002328
"37",NA,NA,20,0,NA,11122664061.8931,0.612000000000262,0.0539999999993597
"38",NA,NA,45,1,NA,11467713334.1908,1.85200000000004,0.043999999999869
"39",NA,NA,16,1,NA,10952401432.4304,0.769999999999709,0.0579999999998108
"40",NA,NA,59,0,NA,11526235854.9771,1.68000000000029,0.043999999999869
"41",NA,NA,13,1,NA,11016933788.5454,0.74800000000032,0.0560000000004948
"42",NA,NA,56,0,NA,11508444901.5656,1.60600000000013,0.043999999999869
"43",NA,NA,21,1,NA,10787460987.6134,1.02200000000048,0.0579999999998108
"44",NA,NA,50,1,NA,11346060724.0307,2.59800000000032,0.056000000000131
"45",NA,NA,46,0,NA,11237762833.1504,1.65200000000004,0.0539999999997235
"46",NA,NA,35,0,NA,11295229899.0519,1.12599999999984,0.0540000000004511
"47",NA,NA,56,1,NA,11432319852.6893,1.98999999999978,0.0459999999995489
"48",NA,NA,31,0,NA,10989890166.7414,0.788000000000466,0.0420000000001892
"49",NA,NA,59,0,NA,11006523215.542,1.32600000000057,0.0360000000007858
"50",NA,NA,9,1,NA,11023234129.7506,0.47200000000048,0.0480000000003201
"51",NA,NA,49,0,NA,11562822005.9952,1.1380000000001,0.0380000000001019
