"","num_trees","sample_fraction","mtry","replace","min_node_size","mse","runtime_training","runtime_prediction"
"1",315,NA,NA,NA,36,10678354975.7177,0.128000000000065,0.0279999999999745
"2",553,NA,NA,NA,35,10345513360.1224,0.204000000000087,0.0319999999999709
"3",1136,NA,NA,NA,50,10662016527.2319,0.348000000000138,0.0359999999998763
"4",1199,NA,NA,NA,11,10856875543.3827,0.624000000000069,0.05600000000004
"5",53,NA,NA,NA,40,10413191681.1018,0.0420000000000982,0.0200000000000728
"6",675,NA,NA,NA,12,10754299798.4773,0.357999999999993,0.0420000000000982
"7",1838,NA,NA,NA,44,10379582298.6894,0.572000000000025,0.0639999999999418
"8",106,NA,NA,NA,50,10323879445.4998,0.05600000000004,0.0240000000000691
"9",1244,NA,NA,NA,29,10762751950.1391,0.467999999999938,0.056000000000131
"10",204,NA,NA,NA,6,10923200846.5093,0.153999999999996,0.0259999999999309
"11",89,NA,NA,NA,38,10372805857.1774,0.049999999999909,0.0200000000000728
"12",19,NA,NA,NA,24,10524213867.3552,0.0319999999999709,0.0240000000000691
"13",985,NA,NA,NA,27,10496189232.5195,0.378000000000066,0.0420000000000073
"14",46,NA,NA,NA,25,10768220026.5341,0.0359999999999673,0.0180000000000291
"15",1417,NA,NA,NA,49,9996549992.67374,0.438000000000102,0.0479999999999563
"16",1562,NA,NA,NA,18,10898711498.8315,0.669999999999891,0.0639999999999418
"17",742,NA,NA,NA,16,10780737602.2689,0.361999999999989,0.0399999999999636
"18",1700,NA,NA,NA,20,10880079003.2675,0.713999999999942,0.0719999999998436
"19",1195,NA,NA,NA,50,10191996750.1507,0.36200000000008,0.0440000000000509
"20",1928,NA,NA,NA,27,10547966727.7627,0.716000000000076,0.0740000000000691
"21",403,NA,NA,NA,34,10459016583.3795,0.164000000000033,0.0320000000000618
"22",413,NA,NA,NA,46,10538574390.7927,0.144000000000051,0.0240000000000691
"23",1178,NA,NA,NA,32,10257221666.8475,0.416000000000076,0.0479999999999563
"24",1048,NA,NA,NA,42,10474082418.0587,0.346000000000095,0.0479999999998654
"25",1437,NA,NA,NA,41,10832966128.1937,0.466000000000076,0.0459999999998217
"26",546,NA,NA,NA,32,10305669354.9795,0.213999999999942,0.0299999999999272
"27",1627,NA,NA,NA,22,10891140902.5655,0.655999999999949,0.0660000000000764
"28",1324,NA,NA,NA,33,10763787660.8165,0.464000000000215,0.0479999999999563
"29",38,NA,NA,NA,44,10407475042.6434,0.0380000000000109,0.0240000000000691
"30",229,NA,NA,NA,18,10825870774.3056,0.121999999999935,0.0260000000001128
"31",1657,NA,NA,NA,8,10588999790.6331,0.976000000000022,0.0880000000000109
"32",1113,NA,NA,NA,20,10783992790.1808,0.476000000000113,0.0520000000001346
"33",1595,NA,NA,NA,23,11040610194.9062,0.622000000000025,0.0599999999999454
"34",565,NA,NA,NA,24,10604016975.8672,0.238000000000102,0.0299999999998363
"35",1774,NA,NA,NA,4,10202108956.1698,1.34399999999996,0.134000000000015
"36",1811,NA,NA,NA,8,10766819948.3709,1.06199999999999,0.0980000000001382
"37",911,NA,NA,NA,39,10522940150.1089,0.313999999999942,0.0420000000000073
"38",984,NA,NA,NA,31,10550655758.4052,0.361999999999898,0.0399999999998727
"39",1304,NA,NA,NA,13,10550834032.579,0.71200000000008,0.0660000000001673
"40",1105,NA,NA,NA,4,11192232562.1666,0.923999999999978,0.0780000000000655
"41",907,NA,NA,NA,3,11115966060.3343,0.752000000000044,0.0659999999999854
"42",1699,NA,NA,NA,42,10747543282.0547,0.54399999999996,0.0599999999999454
"43",848,NA,NA,NA,17,10639526036.1452,0.394000000000142,0.0479999999999563
"44",901,NA,NA,NA,46,10373250450.0216,0.297999999999956,0.0340000000001055
"45",1214,NA,NA,NA,50,10246358773.0567,0.369999999999891,0.0460000000000036
"46",1398,NA,NA,NA,18,10897430210.4907,0.614000000000124,0.0580000000000837
"47",1983,NA,NA,NA,18,10573274902.7687,0.857999999999902,0.0819999999999709
"48",1415,NA,NA,NA,11,10726251093.3001,0.744000000000051,0.0680000000000291
"49",1036,NA,NA,NA,43,10546810144.5264,0.345999999999913,0.0380000000001019
"50",1158,NA,NA,NA,21,10668357668.8147,0.481999999999971,0.05
"51",157,NA,NA,NA,15,10816065739.0965,0.105999999999949,0.0260000000000218
"52",92,NA,NA,NA,12,10941420847.1697,0.0719999999999345,0.0199999999999818
"53",1300,NA,NA,NA,49,10441865227.106,0.410000000000036,0.0500000000001819
"54",1029,NA,NA,NA,21,10663709160.8564,0.438000000000011,0.0520000000000437
"55",1197,NA,NA,NA,31,10793973949.6578,0.440000000000055,0.0460000000000036
"56",1098,NA,NA,NA,36,10463988622.6098,0.379999999999836,0.0319999999998799
"57",475,NA,NA,NA,15,10895952191.7607,0.242000000000098,0.0319999999999709
"58",461,NA,NA,NA,35,10270760436.8788,0.176000000000022,0.0259999999998399
"59",1599,NA,NA,NA,20,10714927352.4087,0.670000000000073,0.06200000000008
"60",1722,NA,NA,NA,33,10541164654.2697,0.592000000000098,0.0680000000000291
"61",8,NA,NA,NA,44,10606054440.1682,0.0260000000001128,0.0239999999999782
"62",16,NA,NA,NA,34,10776737668.1473,0.0300000000000182,0.0220000000000255
"63",1978,NA,NA,NA,43,10201492434.3563,0.622000000000116,0.0659999999999854
"64",1443,NA,NA,NA,40,10305636693.9463,0.473999999999978,0.0479999999999563
"65",1313,NA,NA,NA,26,10699039591.3218,0.502000000000044,0.0479999999999563
"66",937,NA,NA,NA,21,10764894923.3192,0.4,0.0420000000000073
"67",1871,NA,NA,NA,10,10888345682.9626,1.02199999999993,0.0920000000000073
"68",1061,NA,NA,NA,49,10555983043.3325,0.333999999999924,0.0380000000000109
"69",2015,NA,NA,NA,40,10613193114.0037,0.64399999999996,0.0740000000000691
"70",666,NA,NA,NA,8,10869922643.6283,0.405999999999949,0.0440000000001419
"71",704,NA,NA,NA,28,10432242769.9035,0.273999999999978,0.0359999999998763
"72",349,NA,NA,NA,27,10819137802.1327,0.155999999999858,0.0259999999999309
"73",1206,NA,NA,NA,10,11047851103.0057,0.661999999999989,0.0640000000000327
"74",925,NA,NA,NA,29,10867141341.1998,0.355999999999949,0.050000000000091
"75",1589,NA,NA,NA,48,10469986741.0276,0.477999999999884,0.049999999999909
"76",1951,NA,NA,NA,42,10712166348.2808,0.618000000000029,0.0699999999999818
"77",1071,NA,NA,NA,35,10510142271.1302,0.37599999999984,0.0479999999999563
"78",629,NA,NA,NA,22,10690264147.3835,0.259999999999945,0.0319999999998799
"79",1176,NA,NA,NA,34,10783705597.6832,0.410000000000036,0.0479999999999563
"80",2034,NA,NA,NA,32,10772522685.0835,0.698000000000047,0.0639999999999418
"81",1841,NA,NA,NA,41,10169575234.3708,0.576000000000022,0.0599999999999454
"82",1914,NA,NA,NA,24,10853755693.2028,0.742000000000098,0.0779999999999745
"83",1046,NA,NA,NA,3,10742572379.9799,0.830000000000018,0.0779999999999745
"84",1546,NA,NA,NA,14,10787398386.364,0.734000000000105,0.0659999999999854
