"","num_trees","sample_fraction","mtry","replace","min_node_size","mse","runtime_training","runtime_prediction"
"1",1107,NA,48,NA,NA,11407114507.5188,2.85400000000009,0.0640000000000327
"2",770,NA,58,NA,NA,11521783130.1607,2.37799999999997,0.0459999999999127
"3",616,NA,13,NA,NA,10912086035.7127,0.619999999999982,0.04399999999996
"4",711,NA,38,NA,NA,11345762651.2833,1.65799999999999,0.0520000000001346
"5",216,NA,1,NA,NA,8599510587.91818,0.05,0.0260000000001128
"6",1604,NA,45,NA,NA,11188797047.7842,3.83000000000002,0.0839999999999236
"7",1015,NA,8,NA,NA,10947255392.0042,0.633999999999833,0.0479999999999563
"8",1379,NA,8,NA,NA,11216151600.7362,0.872000000000116,0.0740000000001601
"9",1805,NA,12,NA,NA,11122726697.8347,1.47600000000011,0.0899999999999636
"10",1208,NA,53,NA,NA,11224898388.2027,3.55200000000004,0.0699999999998909
"11",793,NA,51,NA,NA,11210361039.0595,2.24800000000005,0.0479999999998654
"12",427,NA,3,NA,NA,10365633973.3079,0.214000000000033,0.04399999999996
"13",1295,NA,42,NA,NA,11174551494.1489,3.50999999999985,0.0760000000000218
"14",1285,NA,33,NA,NA,10882626523.5898,2.64799999999987,0.0679999999999382
"15",1994,NA,1,NA,NA,8371398320.22564,0.401999999999953,0.1
"16",1712,NA,50,NA,NA,11431612696.6822,5.48999999999996,0.0940000000000509
"17",1395,NA,52,NA,NA,10953766643.4076,3.88199999999997,0.0699999999999818
"18",48,NA,49,NA,NA,11124589975.4398,0.14399999999996,0.0199999999998909
"19",30,NA,31,NA,NA,11202040287.9087,0.0699999999999818,0.0240000000000691
"20",1011,NA,33,NA,NA,11267092830.5331,1.84399999999996,0.05600000000004
"21",546,NA,46,NA,NA,11268825627.2299,1.34399999999996,0.0319999999999709
"22",1737,NA,56,NA,NA,11217653495.3075,5.1,0.0880000000000109
"23",789,NA,17,NA,NA,10789849684.7726,0.860000000000127,0.0520000000000437
"24",789,NA,39,NA,NA,11073920754.6042,1.66800000000003,0.05
"25",2033,NA,47,NA,NA,11113190341.0301,5.2699999999998,0.101999999999862
"26",1725,NA,21,NA,NA,10828982121.3517,2.5,0.103999999999905
"27",211,NA,42,NA,NA,11065364646.0552,0.597999999999956,0.0300000000000182
"28",502,NA,30,NA,NA,11273800352.1015,0.960000000000036,0.0420000000000073
"29",532,NA,11,NA,NA,10856378856.134,0.438000000000102,0.0300000000000182
"30",529,NA,59,NA,NA,11551458766.6895,1.63800000000001,0.0380000000000109
"31",2044,NA,44,NA,NA,11194757721.6391,4.83399999999992,0.108000000000084
"32",1584,NA,2,NA,NA,9740109251.14163,0.395999999999913,0.0739999999999782
"33",63,NA,32,NA,NA,11067026846.2212,0.131999999999971,0.0200000000000728
"34",1304,NA,16,NA,NA,11003530654.407,1.36400000000003,0.0700000000000728
"35",154,NA,9,NA,NA,10901592668.5188,0.124000000000069,0.0199999999999818
"36",314,NA,26,NA,NA,11228118813.1134,0.535999999999967,0.0299999999998363
"37",1108,NA,36,NA,NA,11362083912.5142,2.27200000000003,0.056000000000131
"38",1077,NA,53,NA,NA,11273132932.4466,3.00600000000004,0.0580000000000837
"39",1213,NA,56,NA,NA,11145110424.2954,3.50599999999995,0.0640000000000327
"40",1079,NA,11,NA,NA,10812251744.1972,0.854000000000087,0.05600000000004
"41",737,NA,27,NA,NA,11039068205.7342,1.17800000000007,0.0460000000000036
"42",926,NA,52,NA,NA,11308604569.2226,2.68599999999997,0.0579999999999927
"43",91,NA,2,NA,NA,9701430166.51257,0.0400000000000546,0.0220000000000255
"44",423,NA,46,NA,NA,11181283433.8928,1.12600000000002,0.0319999999998799
"45",1806,NA,58,NA,NA,11274280533.2795,5.48599999999997,0.100000000000091
"46",2014,NA,41,NA,NA,11369722509.436,4.4380000000001,0.114000000000124
"47",755,NA,1,NA,NA,8487519991.73575,0.119999999999982,0.0340000000000146
"48",1986,NA,34,NA,NA,11265672721.763,3.94200000000001,0.115999999999985
"49",874,NA,51,NA,NA,11252248190.2253,2.36400000000021,0.0479999999998654
"50",54,NA,59,NA,NA,11430384520.0477,0.185999999999967,0.0199999999999818
"51",1484,NA,24,NA,NA,11210325344.2412,2.06800000000003,0.0800000000000182
"52",903,NA,26,NA,NA,11347016014.6627,1.38000000000002,0.0559999999999491
"53",722,NA,9,NA,NA,10636363321.8515,0.592000000000098,0.049999999999909
"54",1267,NA,6,NA,NA,10973492773.974,0.857999999999902,0.0880000000001019
"55",1255,NA,8,NA,NA,10779227722.6945,1.20799999999999,0.101999999999953
"56",1544,NA,23,NA,NA,11039789732.1327,3.69799999999996,0.129999999999927
"57",9,NA,4,NA,NA,10606157826.2885,0.0260000000000218,0.0180000000000291
"58",580,NA,31,NA,NA,11246315140.8746,1.79199999999983,0.0699999999999818
"59",943,NA,28,NA,NA,11060181500.7463,2.65599999999986,0.0919999999998254
"60",233,NA,52,NA,NA,11013348296.7407,1.22199999999993,0.0539999999999964
"61",1865,NA,7,NA,NA,10959615799.0949,2.09599999999991,0.183999999999924
