"","num_trees","sample_fraction","mtry","replace","min_node_size","mse","runtime_training","runtime_prediction"
"1",1730,0.819898113817908,NA,NA,NA,10527535119.9588,1.086,0.141999999999996
"2",310,0.353515726607293,NA,NA,NA,9935220784.15353,0.118000000000006,0.0279999999999745
"3",1454,0.444440184812993,NA,NA,NA,10536736979.5459,0.556000000000006,0.0739999999999895
"4",653,0.411027315142565,NA,NA,NA,10542981069.1925,0.234000000000015,0.0299999999999727
"5",1531,0.356342685641721,NA,NA,NA,10359286412.7602,0.458000000000004,0.0639999999999986
"6",513,0.426683859084733,NA,NA,NA,10298915426.1345,0.191999999999996,0.0340000000000032
"7",1466,0.225206787721254,NA,NA,NA,10587185523.8497,0.325999999999999,0.0519999999999982
"8",1008,0.894180324440822,NA,NA,NA,11016918302.5513,0.650000000000011,0.0660000000000082
"9",893,0.986315862461925,NA,NA,NA,10455529755.6478,0.629999999999995,0.0600000000000023
"10",819,0.946947572636418,NA,NA,NA,10775663877.8017,0.622000000000014,0.0720000000000141
"11",1219,0.37778588347137,NA,NA,NA,10336867539.2612,0.415999999999997,0.0620000000000005
"12",1917,0.826334587531164,NA,NA,NA,10720618212.7041,1.16999999999998,0.112000000000012
"13",623,0.208447517035529,NA,NA,NA,10468398451.2605,0.151999999999987,0.0319999999999936
"14",1826,0.43996668534819,NA,NA,NA,10860009570.1138,0.656000000000006,0.0799999999999954
"15",1243,0.987512802635319,NA,NA,NA,10967219630.2729,0.862,0.0759999999999991
"16",1518,0.282427016273141,NA,NA,NA,10548728124.1932,0.384000000000026,0.0580000000000041
"17",389,0.82991569719743,NA,NA,NA,10636261930.682,0.254000000000008,0.0339999999999804
"18",1433,0.951272306311876,NA,NA,NA,10622744379.2385,0.969999999999982,0.0920000000000187
"19",670,0.379884668230079,NA,NA,NA,10825695373.5108,0.233999999999992,0.0440000000000168
"20",345,0.685350873507559,NA,NA,NA,10920399264.8068,0.194000000000017,0.0320000000000164
"21",852,0.429819202795625,NA,NA,NA,10491059874.7875,0.336000000000013,0.0499999999999659
"22",1779,0.711375127383508,NA,NA,NA,10704277872.5301,1.01,0.0979999999999905
"23",1403,0.614855897380039,NA,NA,NA,10745746522.4263,0.653999999999996,0.0779999999999859
"24",1586,0.114577536308207,NA,NA,NA,9767969211.77723,0.241999999999996,0.0520000000000096
"25",962,0.54933641247917,NA,NA,NA,10762382546.4458,0.418000000000006,0.05
"26",757,0.684844822180457,NA,NA,NA,10401993098.2635,0.393999999999983,0.0479999999999905
"27",207,0.76654064762406,NA,NA,NA,10201514994.0455,0.130000000000007,0.0259999999999991
"28",1007,0.654903938598,NA,NA,NA,10682744647.0159,0.5,0.0560000000000059
"29",1521,0.339174323808402,NA,NA,NA,10496282496.2001,0.45,0.0600000000000023
"30",284,0.436038157111034,NA,NA,NA,10581910509.9582,0.122000000000003,0.0319999999999823
"31",1595,0.81063021896407,NA,NA,NA,10542676056.7426,0.983999999999992,0.0900000000000091
"32",1809,0.723135871486738,NA,NA,NA,10508240454.1434,1.054,0.1
"33",1600,0.891237936960533,NA,NA,NA,10738313105.9671,1.052,0.0940000000000055
"34",1475,0.946426072204485,NA,NA,NA,10455006540.8916,0.984000000000026,0.0939999999999714
"35",618,0.859183871652931,NA,NA,NA,10876527520.8491,0.392000000000007,0.0419999999999845
"36",39,0.316944969049655,NA,NA,NA,10634026459.681,0.0339999999999918,0.0200000000000045
"37",1502,0.886719923932105,NA,NA,NA,10938969510.5618,0.954000000000008,0.0920000000000073
"38",1657,0.605160393449478,NA,NA,NA,10816097416.7971,0.768000000000006,0.0779999999999859
"39",1275,0.583753944607452,NA,NA,NA,10576192225.7502,0.575999999999988,0.0639999999999986
"40",1028,0.478792560426518,NA,NA,NA,10699550864.2713,0.399999999999977,0.0500000000000114
"41",1096,0.975179429748096,NA,NA,NA,10519448590.2594,0.757999999999993,0.067999999999995
"42",1197,0.702687053824775,NA,NA,NA,10872596546.4206,0.62399999999999,0.0620000000000005
"43",1620,0.299290357716382,NA,NA,NA,10599666410.9941,0.425999999999999,0.0659999999999968
"44",1575,0.371558288671076,NA,NA,NA,10821288456.234,0.498000000000002,0.0739999999999782
"45",953,0.598200276470743,NA,NA,NA,10865291311.3465,0.448000000000025,0.0559999999999718
"46",262,0.24317209252622,NA,NA,NA,10302337373.5617,0.0840000000000145,0.0299999999999955
"47",76,0.777170250960626,NA,NA,NA,10562818579.9086,0.0660000000000082,0.0180000000000064
"48",1642,0.284449972258881,NA,NA,NA,9939253826.408,0.435999999999967,0.0640000000000555
"49",1558,0.718327645538375,NA,NA,NA,10598252016.7867,0.820000000000005,0.0919999999999618
"50",1052,0.283466443931684,NA,NA,NA,10273455295.8983,0.296000000000004,0.0459999999999809
"51",363,0.307485355972312,NA,NA,NA,10725535422.9234,0.123999999999978,0.0260000000000673
"52",831,0.427882384276018,NA,NA,NA,10840283456.9036,0.329999999999927,0.0560000000000628
"53",653,0.365470093931071,NA,NA,NA,10281433689.6243,0.222000000000003,0.0420000000000073
"54",1078,0.792917023785412,NA,NA,NA,10418259950.3675,0.598000000000002,0.0639999999999873
"55",1590,0.792883913591504,NA,NA,NA,10912992308.3687,0.974000000000001,0.0959999999999809
"56",518,0.84134608367458,NA,NA,NA,10956379663.3411,0.32800000000002,0.0339999999999918
"57",1442,0.10423917225562,NA,NA,NA,9709361666.45617,0.20799999999997,0.0460000000000264
"58",1452,0.400137665146031,NA,NA,NA,10364618158.7969,0.502000000000021,0.0619999999999891
