"","num_trees","sample_fraction","mtry","replace","min_node_size","mse","runtime_training","runtime_prediction"
"1",NA,0.288813438289799,NA,NA,16,10156048359.1686,0.143999999999505,0.0339999999996508
"2",NA,0.875218723155558,NA,NA,34,10524371314.9894,0.20399999999936,0.0359999999996944
"3",NA,0.590122710354626,NA,NA,12,10555492354.4967,0.276000000000204,0.036000000000422
"4",NA,0.696213236427866,NA,NA,14,10077294813.0854,0.279999999999927,0.0400000000001455
"5",NA,0.332808037428185,NA,NA,3,10680898838.9128,0.254000000000087,0.036000000000422
"6",NA,0.444309710850939,NA,NA,37,10222889645.1753,0.127999999999156,0.0299999999995634
"7",NA,0.641336798807606,NA,NA,14,10802749852.3686,0.263999999999214,0.0340000000000146
"8",NA,0.991861218959093,NA,NA,44,10568297379.2634,0.213999999999578,0.0340000000007421
"9",NA,0.231578354700469,NA,NA,24,9653333751.19869,0.112000000000262,0.0280000000006112
"10",NA,0.228447627322748,NA,NA,26,9941825884.18593,0.102000000000044,0.0279999999995198
"11",NA,0.137870877701789,NA,NA,13,9865584501.91346,0.110000000000218,0.0279999999998836
"12",NA,0.262113155424595,NA,NA,14,10455074748.842,0.127999999999884,0.0360000000000582
"13",NA,0.349288283777423,NA,NA,45,9715427656.48653,0.107999999999447,0.030000000000291
"14",NA,0.523222729354165,NA,NA,45,9898497750.60492,0.139999999999782,0.0339999999996508
"15",NA,0.506481078267098,NA,NA,46,9997358494.85981,0.129999999999927,0.0280000000002474
"16",NA,0.367011121287942,NA,NA,34,9918011106.66435,0.144000000000233,0.0360000000000582
"17",NA,0.734366974444129,NA,NA,12,10599175434.7449,0.257999999999811,0.0360000000000582
"18",NA,0.714037775970064,NA,NA,39,10628796330.7728,0.176000000000204,0.0379999999993743
"19",NA,0.848606735887006,NA,NA,3,10680590018.8507,0.474000000000524,0.0460000000002765
"20",NA,0.560020960029215,NA,NA,47,10014096820.3549,0.15399999999936,0.0299999999995634
"21",NA,0.309212322859094,NA,NA,40,9678485612.64451,0.104000000000451,0.0299999999999272
"22",NA,0.664411265030503,NA,NA,47,9960363370.50607,0.182000000000335,0.0299999999999272
"23",NA,0.665980854979716,NA,NA,29,10675805399.0894,0.186000000000058,0.0399999999997817
"24",NA,0.166774940607138,NA,NA,39,9089994575.16737,0.0880000000001019,0.0319999999999709
"25",NA,0.327281663636677,NA,NA,12,10342020764.1301,0.156000000000131,0.0340000000000146
"26",NA,0.132671821000986,NA,NA,10,9689722253.47007,0.100000000000364,0.030000000000291
"27",NA,0.845704635395668,NA,NA,24,10677145827.6134,0.235999999999694,0.0379999999997381
"28",NA,0.716592868603766,NA,NA,7,10687042540.5038,0.310000000000218,0.0360000000000582
"29",NA,0.557592997816391,NA,NA,28,10329978147.0764,0.154000000000087,0.0359999999996944
"30",NA,0.498478337191045,NA,NA,42,10467786187.0749,0.127999999999156,0.027999999999156
"31",NA,0.468417258793488,NA,NA,47,10173261734.6911,0.124000000000888,0.0280000000006112
"32",NA,0.711061290279031,NA,NA,25,10430379813.3462,0.244000000000233,0.042000000000553
"33",NA,0.327491327514872,NA,NA,30,9873721281.20523,0.120000000000073,0.0340000000003784
"34",NA,0.646221550484188,NA,NA,17,10744670044.0706,0.221999999999753,0.0320000000003347
"35",NA,0.374936240073294,NA,NA,44,10194921709.3064,0.108000000000538,0.0300000000006548
"36",NA,0.279999042954296,NA,NA,9,10235212848.0668,0.15,0.0380000000001019
"37",NA,0.793243330228142,NA,NA,19,10841011303.1783,0.247999999999956,0.0400000000001455
"38",NA,0.235358405276202,NA,NA,42,9288418593.41972,0.093999999999869,0.030000000000291
"39",NA,0.64645583704114,NA,NA,15,10469211906.057,0.217999999999665,0.0320000000003347
"40",NA,0.871589645533822,NA,NA,13,10891160884.8658,0.297999999999593,0.0399999999990541
"41",NA,0.575431765848771,NA,NA,49,10285982981.0959,0.140000000000146,0.030000000000291
"42",NA,0.427695382130332,NA,NA,44,10226086143.0897,0.120000000000073,0.0380000000004657
"43",NA,0.319694537762553,NA,NA,49,9870800689.93859,0.0959999999999127,0.0400000000008731
"44",NA,0.951769492938183,NA,NA,36,10281540768.9458,0.209999999999491,0.033999999999287
"45",NA,0.738205099664629,NA,NA,4,10902316555.4001,0.389999999999782,0.0479999999995925
"46",NA,0.188261565705761,NA,NA,43,9314642598.8827,0.0779999999995198,0.0360000000000582
"47",NA,0.699917131126858,NA,NA,37,10425078542.8075,0.171999999999753,0.0280000000002474
"48",NA,0.684485746687278,NA,NA,15,10511522851.2922,0.229999999999927,0.0340000000003784
"49",NA,0.993690716219135,NA,NA,15,11039728598.3991,0.317999999999665,0.0399999999997817
"50",NA,0.708523418055847,NA,NA,29,10426539374.3661,0.186000000000422,0.0340000000003784
"51",NA,0.733428599638864,NA,NA,43,10234961648.8813,0.180000000000291,0.0320000000006985
"52",NA,0.400836662435904,NA,NA,12,10333512538.9674,0.181999999999971,0.0379999999997381
"53",NA,0.81880792430602,NA,NA,20,10568227482.9528,0.270000000000073,0.0320000000006985
"54",NA,0.411949183675461,NA,NA,5,10649560909.5428,0.232000000000335,0.0400000000001455
"55",NA,0.751585699361749,NA,NA,43,10559448971.7326,0.179999999999927,0.0259999999998399
"56",NA,0.319934129016474,NA,NA,43,9608916699.41878,0.104000000000451,0.0320000000006985
"57",NA,0.637414541491307,NA,NA,34,10068004597.0158,0.163999999999942,0.0299999999995634
"58",NA,0.109568716958165,NA,NA,40,8772198352.2491,0.0700000000004366,0.0300000000006548
"59",NA,0.745206734514795,NA,NA,25,10298061034.5035,0.204000000000087,0.0379999999997381
"60",NA,0.761273130471818,NA,NA,47,10086996872.571,0.188000000000102,0.0320000000003347
"61",NA,0.770263019390404,NA,NA,27,10262700718.0559,0.211999999999534,0.0319999999988795
"62",NA,0.927921225340106,NA,NA,42,10589498782.8132,0.2,0.0420000000009168
"63",NA,0.836285391449928,NA,NA,12,10693790844.6839,0.276000000000568,0.0420000000001892
"64",NA,0.48808979424648,NA,NA,37,10150873113.5826,0.136000000000422,0.030000000000291
"65",NA,0.119353602360934,NA,NA,6,10203122382.4069,0.12200000000048,0.0340000000003784
"66",NA,0.456903257593513,NA,NA,20,10385679639.4104,0.168000000000029,0.0340000000000146
"67",NA,0.720865961583331,NA,NA,40,10435570375.1413,0.165999999999985,0.0319999999999709
"68",NA,0.270715436013415,NA,NA,19,10014083019.4309,0.130000000000655,0.0280000000006112
"69",NA,0.623380252253264,NA,NA,30,10577480934.5164,0.166000000000349,0.0320000000003347
"70",NA,0.206598835275508,NA,NA,13,10021231855.6355,0.121999999999753,0.0359999999993306
"71",NA,0.716633731639013,NA,NA,9,10741959922.903,0.27799999999952,0.0339999999996508
"72",NA,0.801204102276824,NA,NA,3,10725716283.1956,0.44800000000032,0.0479999999999563
"73",NA,0.42816465261858,NA,NA,45,9843585711.88925,0.118000000000757,0.0320000000006985
"74",NA,0.282703570043668,NA,NA,26,10072248914.0633,0.112000000000626,0.0340000000000146
"75",NA,0.787832092563622,NA,NA,33,10744850292.6308,0.193999999999505,0.0340000000000146
"76",NA,0.880732499994338,NA,NA,32,10643618207.4699,0.192000000000553,0.0380000000004657
"77",NA,0.391662022750825,NA,NA,50,9771159042.19343,0.12200000000048,0.0380000000004657
"78",NA,0.35171000356786,NA,NA,46,9613783669.14853,0.118000000000029,0.030000000000291
"79",NA,0.622343437024392,NA,NA,18,10054363018.4308,0.198000000000684,0.036000000000422
"80",NA,0.433013605605811,NA,NA,31,10004693803.837,0.130000000000291,0.0319999999999709
"81",NA,0.98724494529888,NA,NA,1,10500926200.228,0.690000000000509,0.0840000000000145
"82",NA,0.749113080464303,NA,NA,30,10335439124.1792,0.191999999999462,0.0319999999996071
"83",NA,0.970162298693322,NA,NA,32,10207448526.156,0.221999999999389,0.0339999999996508
"84",NA,0.313745835283771,NA,NA,27,9633840382.04745,0.116000000000713,0.0300000000006548
"85",NA,0.160552598536015,NA,NA,20,9422711907.52172,0.107999999999811,0.0299999999999272
"86",NA,0.325136836036108,NA,NA,48,9773706236.77491,0.107999999999811,0.0319999999996071
"87",NA,0.34333887596149,NA,NA,29,10015214678.9769,0.117999999999665,0.030000000000291
