"","mtry","min.node.size","sample.fraction","mse","exec.time"
"1",67,57,0.419275984972095,952452267.639297,2.09
"2",51,14,0.562515196324481,670412428.044683,3.61
"3",21,101,0.489156434644635,1031705559.59143,0.81
"4",12,129,0.662891361434013,1053581232.31769,0.75
"5",64,4,0.391909260737399,688221251.113264,6.16
"6",39,5,0.817597031610397,619834055.257091,6.02
"7",29,7,0.386543556721105,681519000.207076,2.18
"8",63,24,0.443476396567033,749139957.135887,2.92
"9",16,4,0.794300939076735,596172329.976281,3.15
"10",40,81,0.221719632765744,1260439487.47681,0.730000000000004
"11",26,12,0.672035900812286,621340877.980394,2.91
"12",60,3,0.782553345117097,627330452.380194,10.04
"13",58,41,0.607450176114993,785060169.407725,3.03
"14",30,315,0.729649292006312,1465564049.35165,1.02
"15",37,2,0.304089350646827,683339170.945642,3.16
"16",8,222,0.899555156462205,1218671739.75809,0.68
"17",76,152,0.47484765049691,1258496616.53848,1.66
"18",78,16,0.702885513220293,686430147.059927,6.48
"19",23,2,0.583955111295606,624048339.637272,3.79
"20",19,28,0.52616468502131,728299466.399645,1.34
"21",44,37,0.354787843810239,850350081.419863,1.64
"22",72,10,0.267990586017258,735853690.119673,2.83
"23",10,62,0.239229137501679,1173030507.33589,0.5
"24",48,22,0.830578108238212,666801464.873801,4.53999999999999
"25",33,2,0.869158719442785,595077408.376782,7.11
"26",2,3,0.317366987735343,1010107787.67532,0.800000000000011
"27",69,204,0.754959860612483,1232186401.5594,2.14
"28",55,460,0.278843419582117,2337118278.06225,0.5
"29",5,263,0.623037795295628,1596020135.53504,0.469999999999999
"30",50,6,0.542323968810961,644021853.674129,5.05
"31",27,3,0.735257505563632,599576281.397566,5
"32",77,2,0.734577521571579,645860577.961188,13.15
"33",20,7,0.898322138235403,592424821.950344,4.05
"34",49,2,0.711368840116678,611451139.552817,8.67
"35",18,2,0.837903515591671,592860135.209608,4.51999999999998
"36",19,2,0.899694591242206,584849089.067385,4.91999999999999
"37",23,3,0.883153853168814,596122702.932844,5
"38",22,8,0.820657173148304,605201575.03048,3.58000000000001
"39",27,2,0.76556252469199,597162195.388787,5.40000000000001
"40",20,2,0.86776253271408,600234470.945421,4.81
"41",34,2,0.664554180182849,623218738.533586,5.67999999999998
"42",26,36,0.890268607079308,690051966.507339,2.42999999999998
"43",69,10,0.895135853241202,646294326.972381,8.53
"44",44,2,0.892287552818309,600050924.288143,9.66
"45",25,2,0.880037437111819,589788350.54807,5.95999999999998
"46",55,2,0.898816957137169,609937180.65825,12.02
"47",21,2,0.899125013539723,583088207.143424,5.19
"48",17,2,0.893573305999626,594832600.426044,4.37
"49",22,5,0.749889330719463,606000506.364039,3.69
"50",21,2,0.893419914656811,590827024.809575,5.27000000000001
"51",17,5,0.892585219798258,604224270.226213,3.43000000000001
"52",67,2,0.895173497151345,633279944.875885,13.69
"53",23,2,0.899939497157059,591809411.816584,5.50999999999999
"54",33,2,0.794432824588265,608393915.408936,6.69
"55",20,3,0.770054544041607,592742090.832207,3.94999999999999
"56",28,2,0.881423995843931,589207964.519304,6.29999999999998
"57",25,2,0.896887246154955,589328852.029872,5.84999999999997
"58",71,2,0.599252433870223,658615756.350817,10.04
"59",16,11,0.768188763852892,631701420.586608,2.23000000000002
"60",20,3,0.898922909815314,601220828.825284,4.55000000000001
