"min.node.size","mse","runtime_training","runtime_prediction"
1,677131083.594041,0.570000000000437,0.0759999999987485
2,705858589.963752,0.486000000000058,0.0599999999991269
3,689795207.136623,0.445999999999185,0.0460000000006403
4,658493738.001712,0.4,0.0419999999998254
5,671212556.321391,0.370000000000437,0.042000000000553
6,676785442.562226,0.340000000000146,0.0400000000008731
7,682003284.060765,0.316000000000349,0.0319999999992433
8,680981626.650787,0.309999999999855,0.0380000000011933
9,702462668.456107,0.316000000000349,0.0340000000003784
10,704744279.364932,0.289999999999418,0.0319999999992433
11,670409786.866104,0.279999999999563,0.0319999999992433
12,699324540.653766,0.263999999999942,0.0339999999996508
13,715154356.980564,0.259999999999854,0.0320000000006985
14,680410204.738132,0.259999999999854,0.0340000000003784
15,709041470.833112,0.263999999999214,0.0379999999990105
16,692591209.168868,0.276000000000204,0.042000000000553
17,709358530.17552,0.280000000000291,0.0380000000004657
18,746138954.405416,0.28799999999901,0.0400000000001455
19,707961628.418352,0.278000000000611,0.0340000000003784
20,715130215.082423,0.262000000000262,0.0379999999997381
21,743313282.638919,0.240000000000146,0.0379999999997381
22,723155901.536693,0.223999999999796,0.0359999999993306
23,735516452.535242,0.210000000000582,0.0319999999999709
24,744409721.878868,0.216000000000349,0.0319999999999709
25,735962785.712677,0.214000000000669,0.030000000000291
26,747678096.772288,0.207999999999447,0.0320000000006985
27,758188473.20104,0.204000000000087,0.027999999999156
28,736608082.477302,0.2,0.0319999999999709
29,766259870.003032,0.20199999999968,0.030000000000291
30,751677759.130786,0.194000000000233,0.030000000000291
31,760001850.419333,0.216000000000349,0.0319999999999709
32,776058261.505859,0.2,0.030000000000291
33,761646068.440683,0.205999999999767,0.0339999999996508
34,756886255.073494,0.194000000000233,0.027999999999156
35,763413787.092247,0.187999999999738,0.0299999999995634
36,777856254.713837,0.188000000000466,0.030000000000291
37,771937446.762628,0.181999999999243,0.0260000000002037
38,770333031.368434,0.181999999999971,0.030000000000291
39,797192366.675819,0.181999999999243,0.0260000000002037
40,786574296.231045,0.182000000001426,0.0280000000013388
41,813085151.845473,0.173999999999796,0.0319999999999709
42,805357359.351793,0.180000000001019,0.0300000000017462
43,813825015.499891,0.183999999999651,0.0299999999995634
44,809522139.463686,0.172000000000116,0.0319999999992433
45,802349049.852639,0.179999999998836,0.027999999999156
46,804557104.676418,0.176000000000204,0.0299999999995634
47,804691623.493237,0.178000000000611,0.0260000000009313
48,816130912.034337,0.168000000000029,0.0299999999995634
49,821400851.625594,0.170000000000437,0.0279999999998836
50,839580693.617596,0.165999999998894,0.0319999999992433
