"num_trees","mse","runtime_training","runtime_prediction"
1,2023524653.15654,0.0280000000006112,0.0159999999996217
2,1326287909.35533,0.0319999999992433,0.0120000000002619
3,1166236873.78871,0.0260000000002037,0.0159999999988941
4,1085545984.16069,0.0260000000002037,0.0200000000004366
5,955871673.110731,0.0279999999998836,0.0220000000001164
6,946114471.260397,0.0319999999999709,0.0139999999999418
7,857933102.96646,0.0260000000002037,0.0160000000003492
8,844988357.840391,0.0219999999993888,0.0179999999993015
9,823636187.018547,0.0319999999999709,0.0119999999995343
10,847035915.32118,0.0319999999999709,0.0219999999993888
11,801671349.445468,0.0319999999999709,0.0260000000002037
12,775508472.47734,0.0320000000006985,0.019999999999709
13,757874912.670341,0.030000000000291,0.019999999999709
14,805626651.558682,0.0319999999999709,0.022000000000844
15,765146147.096707,0.0319999999999709,0.0299999999995634
16,772140638.517297,0.0339999999996508,0.0220000000001164
17,731111299.25544,0.0380000000004657,0.0180000000000291
18,742702423.34421,0.0360000000000582,0.0220000000001164
19,715466527.697147,0.0400000000001455,0.0260000000002037
20,745671607.164631,0.0380000000004657,0.022000000000844
21,721399609.970591,0.0339999999996508,0.0219999999986612
22,766231423.549311,0.0400000000001455,0.0220000000001164
23,768861314.765487,0.0379999999997381,0.019999999999709
24,752286936.462511,0.0380000000004657,0.019999999999709
25,722826309.951781,0.0419999999998254,0.0199999999989814
26,737397283.869252,0.0380000000004657,0.0140000000006694
27,773820369.233135,0.0400000000001455,0.022000000000844
28,722583120.952471,0.0479999999995925,0.0259999999987485
29,737024724.925746,0.0419999999998254,0.0160000000003492
30,710511897.025713,0.0459999999999127,0.0220000000015716
31,731817299.748515,0.0400000000001455,0.0159999999988941
32,737590775.930193,0.0419999999998254,0.0219999999993888
33,745181161.170983,0.0540000000000873,0.0200000000011642
34,692367189.426705,0.05,0.0179999999985739
35,728166564.978582,0.0439999999995052,0.0219999999993888
36,710679924.83165,0.0500000000007276,0.022000000000844
37,741281798.710519,0.0479999999995925,0.0159999999988941
38,745266026.05069,0.0460000000006403,0.0259999999994761
39,706068931.208665,0.05,0.0240000000005239
40,706195108.977253,0.05,0.0239999999983411
41,716631177.35356,0.0540000000000873,0.0259999999994761
42,704832564.707906,0.0599999999998545,0.019999999999709
43,703840783.067844,0.0520000000004075,0.0240000000005239
44,697626148.182734,0.0520000000004075,0.0179999999993015
45,698379988.63463,0.0859999999993306,0.0179999999993015
46,693348367.715938,0.0620000000002619,0.0260000000002037
47,712680906.851192,0.0559999999997672,0.0200000000004366
48,689469539.188032,0.0540000000000873,0.0239999999997963
49,691843860.118737,0.0619999999995343,0.0239999999990687
50,706887534.74706,0.0620000000002619,0.0220000000001164
51,741018284.526051,0.0520000000004075,0.0160000000003492
52,698243223.954221,0.05,0.0180000000007567
53,761126534.445431,0.0619999999995343,0.022000000000844
54,677119300.852156,0.0599999999998545,0.0139999999999418
55,676708583.408439,0.0639999999992142,0.0239999999997963
56,713346610.760428,0.0659999999996217,0.0259999999994761
57,680026394.036451,0.0620000000002619,0.0239999999997963
58,719352026.785198,0.0639999999999418,0.0180000000000291
59,689999929.593253,0.0639999999999418,0.0140000000006694
60,687285942.458074,0.0680000000000291,0.0160000000003492
61,726833330.338821,0.0600000000005821,0.0180000000000291
62,680207150.2616,0.0639999999999418,0.0239999999990687
63,705427336.47841,0.0659999999996217,0.0239999999990687
64,705460921.381499,0.0680000000000291,0.0160000000003492
65,729289645.178443,0.0659999999996217,0.0139999999999418
66,675317102.754344,0.0719999999993888,0.019999999999709
67,682384818.775902,0.072000000000844,0.0200000000011642
68,693838587.889615,0.0679999999993015,0.0139999999999418
69,690343802.112695,0.0659999999996217,0.0199999999989814
70,695742104.431964,0.0739999999997963,0.0280000000006112
71,698471586.67661,0.0740000000005239,0.0140000000006694
72,701631993.889546,0.0619999999995343,0.0139999999999418
73,682536378.10522,0.069999999999709,0.0159999999996217
74,679198827.427091,0.0680000000000291,0.0159999999988941
75,692676769.02312,0.0759999999994761,0.0259999999994761
76,694202306.010409,0.0760000000002037,0.0179999999993015
77,677924961.733015,0.077999999999156,0.0179999999993015
78,691448675.72383,0.0739999999997963,0.0200000000004366
79,741921691.08482,0.0819999999999709,0.0280000000006112
80,693575542.533927,0.0799999999995634,0.030000000000291
81,673596044.97947,0.0739999999997963,0.0239999999990687
82,690105853.04074,0.080000000000291,0.0200000000004366
83,695436858.29469,0.0840000000003784,0.0220000000001164
84,696680099.827361,0.0779999999998836,0.0220000000001164
85,711675508.959524,0.0860000000007858,0.0260000000002037
86,693714264.026667,0.0839999999996508,0.0219999999986612
87,684701531.012159,0.0839999999996508,0.0239999999997963
88,707618931.925388,0.0840000000003784,0.0240000000005239
89,730558262.594224,0.0779999999998836,0.0179999999993015
90,697647077.770793,0.0840000000003784,0.0240000000012515
91,688515757.483077,0.107999999999447,0.019999999999709
92,691007648.927191,0.0999999999992724,0.0259999999987485
93,658538014.792821,0.0939999999995052,0.0199999999982538
94,689763247.8553,0.0979999999995926,0.0299999999988358
95,678625917.575639,0.0939999999995052,0.030000000000291
96,687120059.873009,0.0880000000004657,0.0280000000013388
97,705274356.42651,0.0900000000001455,0.022000000000844
98,693454897.295204,0.0940000000002328,0.0300000000010186
99,694996570.113921,0.092000000000553,0.0200000000011642
100,685913572.677997,0.0880000000004657,0.0280000000013388
101,692638859.64101,0.092000000000553,0.022000000000844
102,685629184.630805,0.0880000000004657,0.0219999999993888
103,713435759.01411,0.0900000000001455,0.0220000000001164
104,708566733.079386,0.0919999999998254,0.0199999999989814
105,685745310.753705,0.102000000000407,0.0279999999998836
106,703448479.409734,0.0999999999985448,0.0279999999998836
107,703361940.380867,0.104000000000087,0.0260000000002037
108,681459318.457121,0.100000000000728,0.0300000000010186
109,674810339.624081,0.104000000000087,0.0239999999990687
110,691119421.007373,0.0940000000002328,0.0240000000012515
111,697551247.046823,0.1,0.0219999999993888
112,674263284.974471,0.108000000000175,0.0260000000009313
113,688816488.258468,0.1,0.0199999999989814
114,710259606.872675,0.114000000000669,0.0220000000001164
115,702614583.90336,0.0980000000003201,0.022000000000844
116,681324128.233302,0.105999999999767,0.0239999999997963
117,700571943.156679,0.0999999999992724,0.0180000000000291
118,675813525.816759,0.104000000000087,0.0279999999998836
119,690071683.589264,0.101999999998225,0.0260000000002037
120,697992587.622348,0.0980000000003201,0.0139999999992142
121,727666138.051279,0.110000000000582,0.0220000000001164
122,675555033.672908,0.105999999999767,0.0260000000009313
123,674595845.425858,0.110000000000582,0.027999999999156
124,673665776.529494,0.107999999999447,0.0180000000007567
125,702138569.066524,0.115999999999622,0.0279999999998836
126,674077592.005553,0.116000000000349,0.0240000000019791
127,706631188.462559,0.111999999998807,0.0219999999993888
128,692588312.590141,0.108000000000902,0.027999999999156
129,664129012.342285,0.110000000000582,0.0279999999998836
130,664386983.831261,0.112000000000262,0.0279999999998836
131,684207345.4608,0.112000000000262,0.0219999999993888
132,675286139.193031,0.109999999999127,0.0240000000012515
133,709238754.175,0.11200000000099,0.0259999999994761
134,680083737.543352,0.110000000000582,0.0139999999999418
135,660259833.736566,0.109999999999127,0.0279999999998836
136,670502193.098082,0.111999999999534,0.0180000000000291
137,731111706.680185,0.112000000000262,0.0219999999986612
138,692778426.293224,0.116000000000349,0.0219999999993888
139,682284367.843111,0.115999999999622,0.0280000000006112
140,671877498.577709,0.126000000000931,0.0280000000013388
141,685609361.510974,0.125999999999476,0.0219999999993888
142,698838471.385008,0.115999999999622,0.0260000000002037
143,720533410.407442,0.120000000000437,0.0240000000005239
144,665124987.37886,0.123999999999069,0.0219999999993888
145,724188791.34714,0.127999999999884,0.0299999999995634
146,678596757.817932,0.125999999999476,0.0239999999997963
147,675230958.855309,0.132000000000699,0.030000000000291
148,654037329.282669,0.120000000000437,0.0259999999994761
149,711499998.691702,0.131999999999243,0.0279999999998836
150,732193692.835694,0.129999999999563,0.0320000000006985
256,672179112.614465,0.194000000000233,0.0319999999999709
512,659719165.437864,0.373999999999796,0.0419999999990978
1024,681185257.623876,0.733999999999651,0.0679999999985739
2048,662536415.631374,1.50799999999872,0.129999999998836
