"Parameter","Value","MSE","runtime_prediction","runtime_training"
"num.trees",1,1805778064.00789,0.0100000000002183,0.0299999999997453
"num.trees",2,1190989951.96305,0.0199999999995271,0.0399999999999636
"num.trees",3,888077333.97387,0.0300000000006548,0.0299999999997453
"num.trees",4,800796391.772862,0.0299999999997453,0.0200000000004366
"num.trees",5,698134041.305948,0.0200000000004366,0.0300000000006548
"num.trees",6,689335758.378964,0.00999999999930878,0.0299999999997453
"num.trees",7,685917211.081104,0.0199999999995271,0.0299999999997453
"num.trees",8,653574458.684104,0.0100000000002183,0.0399999999999636
"num.trees",9,642650280.808103,0.0200000000004366,0.0300000000006548
"num.trees",10,598817621.346003,0.00999999999930878,0.0299999999997453
"num.trees",11,605397557.415552,0.0300000000006548,0.0500000000001819
"num.trees",12,570628133.171953,0.0199999999995271,0.0299999999997453
"num.trees",13,567444410.138481,0.0100000000002183,0.0299999999997453
"num.trees",14,558129937.261626,0.0200000000004366,0.0500000000001819
"num.trees",15,554674757.461035,0.0100000000002183,0.0300000000006548
"num.trees",16,547885632.455909,0.0199999999995271,0.0299999999997453
"num.trees",17,547390639.629912,0.0200000000004366,0.0399999999999636
"num.trees",18,527864472.984497,0.0299999999997453,0.0399999999999636
"num.trees",19,525320800.321592,0.0199999999995271,0.0499999999992724
"num.trees",20,533889985.317923,0.0300000000006548,0.0399999999999636
"num.trees",21,516171349.172889,0.00999999999930878,0.0399999999999636
"num.trees",22,525034328.897418,0.0100000000002183,0.0500000000001819
"num.trees",23,527225749.120382,0.0100000000002183,0.0500000000001819
"num.trees",24,540882612.674497,0.0200000000004366,0.0500000000001819
"num.trees",25,549183626.884401,0.0199999999995271,0.0399999999999636
"num.trees",26,553179098.304057,0.0200000000004366,0.0399999999999636
"num.trees",27,562979484.928659,0.0200000000004366,0.0399999999999636
"num.trees",28,574667011.420378,0.0100000000002183,0.0500000000001819
"num.trees",29,564842722.433117,0.0299999999997453,0.0500000000001819
"num.trees",30,555723755.336999,0.0199999999995271,0.0399999999999636
"num.trees",31,566880884.003726,0.0199999999995271,0.0499999999992724
"num.trees",32,564514032.125515,0.0299999999997453,0.0599999999994907
"num.trees",33,567969985.977974,0.0299999999997453,0.0599999999994907
"num.trees",34,563305992.284901,0.0199999999995271,0.0499999999992724
"num.trees",35,566734054.329911,0.0299999999997453,0.0500000000001819
"num.trees",36,565708394.214144,0.0100000000002183,0.0600000000004002
"num.trees",37,556358862.411665,0.0199999999995271,0.069999999999709
"num.trees",38,554387991.735438,0.0100000000002183,0.0500000000001819
"num.trees",39,551407355.363282,0.0299999999997453,0.0399999999999636
"num.trees",40,555053135.599211,0.0199999999995271,0.0599999999994907
"num.trees",41,560903539.793874,0.00999999999930878,0.069999999999709
"num.trees",42,564341324.177953,0.0199999999995271,0.0599999999994907
"num.trees",43,559067571.091461,0.0200000000004366,0.0599999999994907
"num.trees",44,561877150.442392,0.0100000000002183,0.0600000000004002
"num.trees",45,565842495.972991,0.0200000000004366,0.0600000000004002
"num.trees",46,560765190.804796,0.0200000000004366,0.0600000000004002
"num.trees",47,557743988.921962,0.0299999999997453,0.0600000000004002
"num.trees",48,559363787.97023,0.0399999999999636,0.0599999999994907
"num.trees",49,561338354.774104,0.0100000000002183,0.0600000000004002
"num.trees",50,565454492.374489,0.0199999999995271,0.0799999999999272
"num.trees",51,557754572.708138,0.0200000000004366,0.0799999999999272
"num.trees",52,554890735.792527,0.0100000000002183,0.0600000000004002
"num.trees",53,556864403.081858,0.0100000000002183,0.0700000000006185
"num.trees",54,549956548.061388,0.00999999999930878,0.0799999999999272
"num.trees",55,554365001.115359,0.0200000000004366,0.0799999999999272
"num.trees",56,556546341.431773,0.0299999999997453,0.069999999999709
"num.trees",57,553796329.073364,0.0200000000004366,0.0599999999994907
"num.trees",58,560115015.950524,0.0200000000004366,0.0700000000006185
"num.trees",59,558700868.34317,0.0100000000002183,0.0799999999999272
"num.trees",60,552356777.096596,0.0100000000002183,0.0800000000008367
"num.trees",61,552385908.902961,0.0200000000004366,0.0799999999999272
"num.trees",62,554948141.580548,0.0200000000004366,0.0700000000006185
"num.trees",63,553078642.70931,0.0100000000002183,0.0799999999999272
"num.trees",64,547457310.732999,0.0100000000002183,0.0800000000008367
"num.trees",65,550318746.48889,0.0300000000006548,0.0799999999999272
"num.trees",66,549870443.395025,0.0299999999997453,0.0799999999999272
"num.trees",67,553387926.116131,0.0200000000004366,0.0799999999999272
"num.trees",68,551381210.818664,0.0299999999997453,0.069999999999709
"num.trees",69,555198716.475385,0.0199999999995271,0.0799999999999272
"num.trees",70,559453672.60265,0.0200000000004366,0.119999999999891
"num.trees",71,564149111.635856,0.0299999999997453,0.069999999999709
"num.trees",72,568061599.479996,0.0199999999995271,0.089999999999236
"num.trees",73,570064434.698571,0.0200000000004366,0.069999999999709
"num.trees",74,576866281.52437,0.0200000000004366,0.0900000000001455
"num.trees",75,577820869.420806,0.0399999999999636,0.0799999999999272
"num.trees",76,579155735.023116,0.0299999999997453,0.0900000000001455
"num.trees",77,581916198.995491,0.00999999999930878,0.0799999999999272
"num.trees",78,584196951.447497,0.0199999999995271,0.0999999999994543
"num.trees",79,584888308.373542,0.0299999999997453,0.0900000000001455
"num.trees",80,581014843.63069,0.0200000000004366,0.0999999999994543
"num.trees",81,579655354.583089,0.0299999999997453,0.100000000000364
"num.trees",82,575972005.945114,0.0299999999997453,0.089999999999236
"num.trees",83,575982249.621725,0.0299999999997453,0.0900000000001455
"num.trees",84,574675119.236254,0.0300000000006548,0.100000000000364
"num.trees",85,575394126.104514,0.00999999999930878,0.0900000000001455
"num.trees",86,576854176.848271,0.0300000000006548,0.0900000000001455
"num.trees",87,572233476.469511,0.0299999999997453,0.089999999999236
"num.trees",88,568279860.90623,0.0299999999997453,0.0900000000001455
"num.trees",89,569410034.158187,0.0200000000004366,0.110000000000582
"num.trees",90,570158196.11387,0.0299999999997453,0.109999999999673
"num.trees",91,567668140.44178,0.0100000000002183,0.0900000000001455
"num.trees",92,569727904.238782,0.0299999999997453,0.109999999999673
"num.trees",93,570091510.822359,0.0299999999997453,0.0900000000001455
"num.trees",94,570626512.710785,0.0100000000002183,0.100000000000364
"num.trees",95,569513255.302495,0.0200000000004366,0.110000000000582
"num.trees",96,575351052.800954,0.0199999999995271,0.109999999999673
"num.trees",97,578245505.037125,0.00999999999930878,0.109999999999673
"num.trees",98,578526090.083306,0.0300000000006548,0.109999999999673
"num.trees",99,579148267.369988,0.0199999999995271,0.119999999999891
"num.trees",100,580304162.50731,0.0100000000002183,0.109999999999673
"num.trees",101,580129627.885809,0.0100000000002183,0.110000000000582
"num.trees",102,581180154.904492,0.0200000000004366,0.110000000000582
"num.trees",103,577098802.800836,0.00999999999930878,0.109999999999673
"num.trees",104,572971928.892128,0.0300000000006548,0.109999999999673
"num.trees",105,570895188.598998,0.0199999999995271,0.109999999999673
"num.trees",106,572299462.623571,0.0199999999995271,0.109999999999673
"num.trees",107,572524368.41791,0.0200000000004366,0.119999999999891
"num.trees",108,575908411.467572,0.0299999999997453,0.109999999999673
"num.trees",109,576101373.750965,0.0199999999995271,0.119999999999891
"num.trees",110,572908742.924057,0.0300000000006548,0.109999999999673
"num.trees",111,572603846.559162,0.0200000000004366,0.149999999999636
"num.trees",112,574807171.814423,0.0299999999997453,0.110000000000582
"num.trees",113,576001569.691599,0.0300000000006548,0.109999999999673
"num.trees",114,576295878.984572,0.0299999999997453,0.109999999999673
"num.trees",115,577289201.679724,0.0299999999997453,0.110000000000582
"num.trees",116,573436526.155936,0.0300000000006548,0.109999999999673
"num.trees",117,570126617.335316,0.0399999999999636,0.109999999999673
"num.trees",118,571564832.043876,0.0199999999995271,0.100000000000364
"num.trees",119,572289704.095927,0.0299999999997453,0.130000000000109
"num.trees",120,567718593.288629,0.0200000000004366,0.119999999999891
"num.trees",121,566886190.518227,0.0299999999997453,0.119999999999891
"num.trees",122,564765340.591982,0.00999999999930878,0.130000000000109
"num.trees",123,565901713.615097,0.0100000000002183,0.130000000000109
"num.trees",124,566330580.42644,0.0300000000006548,0.140000000000327
"num.trees",125,565622602.165236,0.0300000000006548,0.119999999999891
"num.trees",126,565756722.681992,0.0300000000006548,0.150000000000546
"num.trees",127,562197319.567147,0.0300000000006548,0.119999999999891
"num.trees",128,562477060.793688,0.0299999999997453,0.130000000000109
"num.trees",129,563650426.346301,0.0299999999997453,0.140000000000327
"num.trees",130,565226609.355501,0.0199999999995271,0.119999999999891
"num.trees",131,564579715.941314,0.0299999999997453,0.139999999999418
"num.trees",132,566196946.326126,0.0199999999995271,0.139999999999418
"num.trees",133,567205842.967807,0.0200000000004366,0.140000000000327
"num.trees",134,567238445.07618,0.0100000000002183,0.119999999999891
"num.trees",135,565141222.283896,0.0300000000006548,0.140000000000327
"num.trees",136,561698591.281629,0.0299999999997453,0.149999999999636
"num.trees",137,563266308.417865,0.0299999999997453,0.180000000000291
"num.trees",138,560564054.399302,0.0199999999995271,0.139999999999418
"num.trees",139,561310677.840542,0.0200000000004366,0.149999999999636
"num.trees",140,560615756.444347,0.0299999999997453,0.130000000000109
"num.trees",141,564076488.189488,0.0199999999995271,0.139999999999418
"num.trees",142,565096429.162041,0.0199999999995271,0.149999999999636
"num.trees",143,563341454.223825,0.0100000000002183,0.159999999999854
"num.trees",144,564409673.763728,0.0299999999997453,0.140000000000327
"num.trees",145,564086730.340316,0.0299999999997453,0.139999999999418
"num.trees",146,565016228.629808,0.0100000000002183,0.140000000000327
"num.trees",147,564700879.211934,0.0300000000006548,0.140000000000327
"num.trees",148,565713665.230826,0.0299999999997453,0.140000000000327
"num.trees",149,564897956.73689,0.0199999999995271,0.139999999999418
"num.trees",150,564309862.920011,0.0200000000004366,0.149999999999636
"num.trees",256,566977847.822831,0.0200000000004366,0.230000000000473
"num.trees",512,565126492.970549,0.0399999999999636,0.470000000000255
"num.trees",1024,552590487.026855,0.0600000000004002,0.890000000000327
"num.trees",2048,546230037.09437,0.139999999999418,1.88000000000011
"mtry",1,1228780723.14325,0.0500000000001819,0.0999999999994543
"mtry",2,709539229.276321,0.0399999999999636,0.1899999999996
"mtry",3,611517154.218945,0.0300000000006548,0.25
"mtry",4,567165142.468536,0.0500000000001819,0.420000000000073
"mtry",5,552828345.243546,0.0299999999997453,0.329999999999927
"mtry",6,527522536.232233,0.0500000000001819,0.360000000000582
"mtry",7,544697332.014674,0.0399999999999636,0.400000000000546
"mtry",8,567143037.297996,0.0300000000006548,0.489999999999782
"mtry",9,536288629.537248,0.0399999999999636,0.5
"mtry",10,541833841.554532,0.0399999999999636,0.539999999999964
"mtry",11,546692744.179289,0.0500000000001819,0.550000000000182
"mtry",12,548237583.160786,0.0399999999999636,0.610000000000582
"mtry",13,534651750.361314,0.0399999999999636,0.639999999999418
"mtry",14,551399917.987548,0.0399999999999636,0.670000000000073
"mtry",15,550886435.737344,0.0399999999999636,0.710000000000036
"mtry",16,542662073.573693,0.0499999999992724,0.769999999999527
"mtry",17,532167327.266115,0.0599999999994907,0.789999999999964
"mtry",18,533762004.722121,0.0299999999997453,0.829999999999927
"mtry",19,541748824.199956,0.0299999999997453,0.920000000000073
"mtry",20,536958618.170063,0.0299999999997453,0.889999999999418
"mtry",21,541308755.42889,0.0299999999997453,0.910000000000764
"mtry",22,550832817.883995,0.0399999999999636,0.9399999999996
"mtry",23,549427996.822937,0.0500000000001819,0.949999999999818
"mtry",24,559852977.877683,0.0499999999992724,1.09000000000015
"mtry",25,559563595.981939,0.0300000000006548,1.03999999999996
"mtry",26,559135286.802924,0.0299999999997453,1.05999999999949
"mtry",27,552092883.280818,0.0500000000001819,1.14000000000033
"mtry",28,564586453.997843,0.0299999999997453,1.10000000000036
"mtry",29,571661335.132235,0.0500000000001819,1.23000000000047
"mtry",30,559411626.164512,0.0500000000001819,1.32999999999993
"mtry",31,555665872.723715,0.0500000000001819,1.27999999999975
"mtry",32,561461572.048036,0.0500000000001819,1.32000000000062
"mtry",33,562044006.182013,0.0399999999999636,1.44000000000051
"mtry",34,561203134.629135,0.0500000000001819,1.5
"mtry",35,558069215.060792,0.0399999999999636,1.35999999999967
"mtry",36,563654927.205099,0.0500000000001819,1.35999999999967
"mtry",37,565038828.708207,0.0399999999999636,1.57999999999993
"mtry",38,568155134.864706,0.0399999999999636,1.65999999999985
"mtry",39,582781227.736191,0.0500000000001819,1.57999999999993
"mtry",40,580308907.34205,0.0300000000006548,1.72000000000025
"mtry",41,565173029.374935,0.0299999999997453,1.77999999999975
"mtry",42,585430673.599123,0.0500000000001819,1.5600000000004
"mtry",43,565558422.447161,0.0500000000001819,1.78999999999996
"mtry",44,580219444.472582,0.0399999999999636,1.6899999999996
"mtry",45,566932718.476058,0.0299999999997453,1.70000000000073
"mtry",46,577354450.04954,0.0399999999999636,1.74000000000069
"mtry",47,582048359.503148,0.0500000000001819,1.86000000000058
"mtry",48,578101843.694857,0.0299999999997453,1.89000000000033
"mtry",49,578488903.363073,0.0500000000001819,1.90999999999985
"mtry",50,586771653.298421,0.0399999999999636,2.32999999999993
"mtry",51,597537094.385067,0.0299999999997453,2.15999999999985
"mtry",52,592502114.568764,0.0299999999997453,2.05000000000018
"mtry",53,588617169.172958,0.0300000000006548,2.15999999999985
"mtry",54,601136810.630643,0.0299999999997453,2.13999999999942
"mtry",55,579973775.146761,0.0499999999992724,2.03999999999996
"mtry",56,589337620.873415,0.0500000000001819,2.23999999999978
"mtry",57,601792029.633492,0.0500000000001819,2.11000000000058
"mtry",58,587280761.112054,0.0499999999992724,2.09000000000015
"mtry",59,596179381.377615,0.0500000000001819,2.26999999999953
"mtry",60,578267760.298285,0.0299999999997453,2.44999999999982
"sample.fraction",0.01,1621207327.07837,0.0199999999995271,0.0599999999994907
"sample.fraction",0.02,1165421931.19308,0.0300000000006548,0.0799999999999272
"sample.fraction",0.03,1014284079.64513,0.0399999999999636,0.0799999999999272
"sample.fraction",0.04,903310674.214951,0.0300000000006548,0.0600000000004002
"sample.fraction",0.05,864364678.504238,0.0300000000006548,0.0799999999999272
"sample.fraction",0.06,811098318.667212,0.0299999999997453,0.069999999999709
"sample.fraction",0.07,827214807.86536,0.0299999999997453,0.0799999999999272
"sample.fraction",0.08,791531665.191334,0.0300000000006548,0.100000000000364
"sample.fraction",0.09,767133812.875422,0.0100000000002183,0.0900000000001455
"sample.fraction",0.1,756679108.523404,0.0300000000006548,0.100000000000364
"sample.fraction",0.11,746923219.192399,0.0299999999997453,0.0900000000001455
"sample.fraction",0.12,737395583.036517,0.0300000000006548,0.109999999999673
"sample.fraction",0.13,715054082.84971,0.0299999999997453,0.109999999999673
"sample.fraction",0.14,715598376.157823,0.0299999999997453,0.110000000000582
"sample.fraction",0.15,713391830.11357,0.0399999999999636,0.119999999999891
"sample.fraction",0.16,709137660.615281,0.0299999999997453,0.130000000000109
"sample.fraction",0.17,686406520.379577,0.0399999999999636,0.119999999999891
"sample.fraction",0.18,678524809.574551,0.0299999999997453,0.130000000000109
"sample.fraction",0.19,673983409.533632,0.0299999999997453,0.159999999999854
"sample.fraction",0.2,680945812.895493,0.0300000000006548,0.140000000000327
"sample.fraction",0.21,672735904.998798,0.0299999999997453,0.159999999999854
"sample.fraction",0.22,653811229.524172,0.0299999999997453,0.150000000000546
"sample.fraction",0.23,653962662.099318,0.0299999999997453,0.170000000000073
"sample.fraction",0.24,660406813.345193,0.0300000000006548,0.180000000000291
"sample.fraction",0.25,672719791.268818,0.0299999999997453,0.170000000000073
"sample.fraction",0.26,653219058.864717,0.0299999999997453,0.170000000000073
"sample.fraction",0.27,651243429.001964,0.0299999999997453,0.180000000000291
"sample.fraction",0.28,650069271.798708,0.0399999999999636,0.170000000000073
"sample.fraction",0.29,645810747.206035,0.0500000000001819,0.1899999999996
"sample.fraction",0.3,651458844.443188,0.0299999999997453,0.190000000000509
"sample.fraction",0.31,641183437.601319,0.0300000000006548,0.1899999999996
"sample.fraction",0.32,643898633.796199,0.0299999999997453,0.180000000000291
"sample.fraction",0.33,635849282.604693,0.0299999999997453,0.210000000000036
"sample.fraction",0.34,625589885.432884,0.0399999999999636,0.219999999999345
"sample.fraction",0.35,632157812.420449,0.0299999999997453,0.200000000000728
"sample.fraction",0.36,613125347.130978,0.0299999999997453,0.199999999999818
"sample.fraction",0.37,623506227.097015,0.0399999999999636,0.199999999999818
"sample.fraction",0.38,625991092.070152,0.0499999999992724,0.230000000000473
"sample.fraction",0.39,631852718.704725,0.0299999999997453,0.220000000000255
"sample.fraction",0.4,622443948.136055,0.0299999999997453,0.219999999999345
"sample.fraction",0.41,620296235.538135,0.0500000000001819,0.220000000000255
"sample.fraction",0.42,608935518.197961,0.0300000000006548,0.239999999999782
"sample.fraction",0.43,617664263.263659,0.0399999999999636,0.220000000000255
"sample.fraction",0.44,617242280.10409,0.0299999999997453,0.230000000000473
"sample.fraction",0.45,603238575.980723,0.0399999999999636,0.269999999999527
"sample.fraction",0.46,609681316.306693,0.0399999999999636,0.239999999999782
"sample.fraction",0.47,600878103.115604,0.0500000000001819,0.25
