"sample.fraction","mse","runtime_training","runtime_prediction"
0.01,2317094041.35905,0.0540000000000873,0.0220000000000255
0.02,1680185872.10294,0.0600000000000364,0.0219999999999345
0.03,1395495915.78622,0.05,0.0259999999999309
0.04,1270651486.3702,0.0600000000001273,0.0239999999999782
0.05,1180021994.41574,0.0579999999999927,0.0279999999999745
0.06,1120754372.86001,0.0719999999999345,0.0279999999998836
0.07,1077378386.75614,0.0700000000000728,0.0180000000001201
0.08,1025447737.35404,0.0700000000000728,0.0180000000001201
0.09,1007130031.58279,0.0739999999999782,0.0299999999999272
0.1,997761652.511085,0.0720000000000255,0.0260000000000218
0.11,948634345.35372,0.0920000000000073,0.0240000000000691
0.12,943511484.402842,0.09399999999996,0.0180000000001201
0.13,921718582.150457,0.08799999999992,0.0240000000001601
0.14,894619886.427872,0.0880000000000109,0.0220000000001164
0.15,875107575.227237,0.103999999999996,0.0260000000001128
0.16,876529502.805436,0.1,0.0300000000000182
0.17,861973139.918474,0.130000000000018,0.0300000000001091
0.18,840851907.676763,0.118000000000029,0.0240000000000691
0.19,858441402.297179,0.103999999999996,0.0299999999999272
0.2,834160113.598568,0.110000000000036,0.0299999999999272
0.21,832472387.182637,0.114000000000033,0.0280000000000655
0.22,841082554.122516,0.111999999999989,0.0280000000001564
0.23,804021851.513119,0.115999999999985,0.0319999999999709
0.24,802552361.789808,0.115999999999985,0.0320000000000618
0.25,798331317.428398,0.123999999999978,0.0239999999999782
0.26,844293821.414647,0.136000000000058,0.0300000000000182
0.27,779629685.759689,0.142000000000007,0.0260000000000218
0.28,776295878.316965,0.127999999999975,0.0319999999999709
0.29,774004635.242877,0.138000000000011,0.0259999999999309
0.3,776580587.286923,0.135999999999967,0.0300000000000182
0.31,779505012.17183,0.148000000000047,0.0279999999999745
0.32,765316049.339772,0.160000000000036,0.0340000000000146
0.33,758802611.665376,0.159999999999945,0.0339999999999236
0.34,775468199.747773,0.151999999999953,0.0320000000000618
0.35,757504361.10012,0.155999999999949,0.0280000000000655
0.36,780258911.98614,0.168000000000029,0.0280000000000655
0.37,754747786.000162,0.168000000000029,0.0299999999998363
0.38,753186145.079877,0.161999999999989,0.0239999999998872
0.39,755423155.569563,0.167999999999938,0.0299999999998363
0.4,757095147.929556,0.169999999999982,0.0280000000000655
0.41,749493878.395148,0.171999999999935,0.0320000000001528
0.42,736066977.424914,0.178000000000065,0.0260000000000218
0.43,738297296.523177,0.177999999999975,0.0319999999999709
0.44,735062714.443696,0.176000000000022,0.0299999999999272
0.45,733042594.82665,0.185999999999967,0.0300000000000182
0.46,737709303.197208,0.183999999999924,0.0300000000000182
0.47,727936569.872508,0.180000000000018,0.0359999999999673
0.48,724697799.055169,0.211999999999898,0.0380000000000109
0.49,726835879.778754,0.202000000000044,0.0359999999999673
0.5,762880806.017019,0.189999999999964,0.0319999999998799
0.51,719297189.682542,0.202000000000044,0.0340000000000146
0.52,762529648.223364,0.19399999999996,0.0300000000000182
0.53,705545272.556733,0.203999999999996,0.03799999999992
0.54,692631281.883546,0.20600000000004,0.0300000000000182
0.55,724500959.676412,0.207999999999993,0.0319999999998799
0.56,693028083.999455,0.217999999999938,0.0300000000000182
0.57,729648558.774628,0.207999999999993,0.0340000000000146
0.58,700462423.483599,0.210000000000036,0.0300000000000182
0.59,698636134.945553,0.223999999999887,0.0319999999999709
0.6,750188390.091545,0.222000000000116,0.0319999999999709
0.61,698336951.717521,0.215999999999894,0.0319999999999709
0.62,689099649.802036,0.227999999999975,0.0320000000000618
0.63,710522400.144182,0.226000000000022,0.0300000000001091
0.64,709579621.68216,0.235999999999967,0.0339999999998327
0.65,701665565.880144,0.238000000000011,0.0300000000000182
0.66,700667374.13419,0.238000000000011,0.0320000000001528
0.67,704106417.617962,0.23799999999992,0.0360000000000582
0.68,712587587.703964,0.243999999999869,0.0300000000000182
0.69,695949344.979352,0.244000000000051,0.0339999999998327
0.7,702100009.413294,0.253999999999996,0.0340000000001055
0.71,702118448.917342,0.253999999999996,0.0300000000000182
0.72,686830387.730993,0.265999999999985,0.0319999999999709
0.73,693520043.606322,0.252000000000044,0.0359999999999673
0.74,695206919.328594,0.260000000000036,0.0340000000000146
0.75,680651488.294626,0.274000000000069,0.0299999999999272
0.76,679404608.297953,0.261999999999989,0.0299999999999272
0.77,678840242.086632,0.269999999999982,0.0340000000000146
0.78,699173644.997513,0.296000000000004,0.0359999999997854
0.79,704089787.88606,0.292000000000098,0.0340000000000146
0.8,673750136.768855,0.277999999999975,0.0319999999999709
0.81,690897908.213418,0.277999999999975,0.0340000000001055
0.82,696399812.701757,0.284000000000015,0.0319999999999709
0.83,687642177.404743,0.289999999999964,0.0359999999999673
0.84,692863147.088053,0.288000000000011,0.0319999999999709
0.85,693617847.505504,0.3,0.0399999999999636
0.86,681500327.493562,0.303999999999996,0.0320000000000618
0.87,706863892.735753,0.297999999999956,0.0339999999999236
0.88,725148835.884357,0.301999999999953,0.0340000000000146
0.89,692879938.93397,0.299999999999909,0.0340000000001055
0.9,677103316.969517,0.3,0.0359999999999673
0.91,697471110.541722,0.303999999999996,0.0319999999998799
0.92,661497672.343646,0.310000000000036,0.0359999999999673
0.93,662109738.789288,0.307999999999993,0.0420000000001892
0.94,670515472.59707,0.328000000000065,0.0380000000000109
0.95,686262475.858775,0.322000000000025,0.0399999999998727
0.96,697869339.812814,0.327999999999975,0.0400000000000546
0.97,675763772.896647,0.320000000000164,0.0360000000000582
0.98,669334053.535299,0.330000000000018,0.0319999999998799
0.99,671436934.14455,0.321999999999935,0.0420000000001892
1,678424750.930122,0.488000000000011,0.0599999999998545
