"num.trees","MSE","runtime_prediction","runtime_training"
2,1190989951.96305,0.0299999999997453,0.0399999999999636
4,800796391.772862,0.0100000000002183,0.0299999999997453
8,653574458.684104,0.0200000000004366,0.0299999999997453
16,547885632.455909,0.00999999999930878,0.0300000000006548
32,564514032.125515,0.0100000000002183,0.0600000000004002
64,547457310.732999,0.0200000000004366,0.0900000000001455
128,562477060.793688,0.0100000000002183,0.140000000000327
256,566977847.822831,0.0299999999997453,0.25
512,565126492.970549,0.0500000000001819,0.530000000000655
1024,552590487.026855,0.0799999999999272,0.949999999999818
2048,546230037.09437,0.119999999999891,1.94999999999982
