"num.trees","mtry","sample.fraction","min.node.size","replace","MSE"
500,2,0.5,1,TRUE,751861248.837042
1000,2,0.5,1,TRUE,749029270.659844
1500,2,0.5,1,TRUE,750408430.882102
500,3,0.5,1,TRUE,658427757.543833
1000,3,0.5,1,TRUE,647288764.021907
1500,3,0.5,1,TRUE,645009335.629658
500,4,0.5,1,TRUE,622826454.494198
1000,4,0.5,1,TRUE,611111507.336776
1500,4,0.5,1,TRUE,615743767.588948
500,2,0.6,1,TRUE,736908526.785028
1000,2,0.6,1,TRUE,731282423.230212
1500,2,0.6,1,TRUE,732130405.5645
500,3,0.6,1,TRUE,634341830.288736
1000,3,0.6,1,TRUE,640627852.696329
1500,3,0.6,1,TRUE,641337822.704665
500,4,0.6,1,TRUE,609948593.813371
1000,4,0.6,1,TRUE,605103946.970751
1500,4,0.6,1,TRUE,606122558.056809
500,2,0.7,1,TRUE,728469090.594751
1000,2,0.7,1,TRUE,719089974.074073
1500,2,0.7,1,TRUE,715012389.28952
500,3,0.7,1,TRUE,636793649.924581
1000,3,0.7,1,TRUE,633754188.755257
1500,3,0.7,1,TRUE,625384740.007389
500,4,0.7,1,TRUE,576428598.177671
1000,4,0.7,1,TRUE,575867436.008317
1500,4,0.7,1,TRUE,583566740.683412
500,2,0.8,1,TRUE,706995567.777871
1000,2,0.8,1,TRUE,709842008.496987
1500,2,0.8,1,TRUE,708710700.201619
500,3,0.8,1,TRUE,623151874.334584
1000,3,0.8,1,TRUE,625378809.04644
1500,3,0.8,1,TRUE,617158491.887847
500,4,0.8,1,TRUE,594105253.967809
1000,4,0.8,1,TRUE,584409038.0144
1500,4,0.8,1,TRUE,585718637.347752
500,2,0.9,1,TRUE,697037789.424903
1000,2,0.9,1,TRUE,702120815.5711
1500,2,0.9,1,TRUE,701003401.915632
500,3,0.9,1,TRUE,608859398.510799
1000,3,0.9,1,TRUE,600919449.807121
1500,3,0.9,1,TRUE,603030900.14968
500,4,0.9,1,TRUE,559845498.542472
1000,4,0.9,1,TRUE,563710034.976123
1500,4,0.9,1,TRUE,567979979.925794
500,2,1,1,TRUE,690062933.25187
1000,2,1,1,TRUE,680662451.65467
1500,2,1,1,TRUE,675771459.465052
500,3,1,1,TRUE,583369857.968816
1000,3,1,1,TRUE,586337050.661345
1500,3,1,1,TRUE,592158248.922445
500,4,1,1,TRUE,555070001.093928
1000,4,1,1,TRUE,564160548.16283
1500,4,1,1,TRUE,560501911.797222
500,2,0.5,5,TRUE,759293007.637445
1000,2,0.5,5,TRUE,760532248.929216
1500,2,0.5,5,TRUE,764465255.851381
500,3,0.5,5,TRUE,658477315.5424
1000,3,0.5,5,TRUE,658627945.368049
1500,3,0.5,5,TRUE,660966515.733503
500,4,0.5,5,TRUE,633279938.61543
1000,4,0.5,5,TRUE,632472777.231412
1500,4,0.5,5,TRUE,632090583.787691
500,2,0.6,5,TRUE,755789899.061325
